"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","total_conc","norm_conc","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18","hair19","hair20","hair21","hair22","hair23","hair24","hair25","row1","row2","row3","row4","row5"
"11",11,95.346035,34.760372,9.2591084,0.0010040371,9.3565624,7.9856825e-05,0.042899685,1080204.3,15798814265.7589,4521.63732632601,310874658.691309,62229603.681788,1398252602.91106,113427377.371447,503995061.114004,30907895.2731212,2046939726.32753,2351815624.70293,661383977.048472,162210003.488822,41715048.9804811,14824039.9700336,2696463435.72767,686902927.423749,211368251.161812,57539689.4027873,16956467.9950681,6968344.85182323,3122664068.63275,913175388.702832,275315374.990606,74683884.4070548,26167438.4228833,8052256.12844766,3981118.3503782,1771356865.28415,2695270060.08611,3231948694.19074,3676199116.56291,4424039529.63495
"12",9,6.2229799,28.70757,15.077804,0.018231998,9.311087,9.1635444e-06,0.015856545,8970199.8,135283492586.42,5908.11838528808,202950671.898165,320754387.92315,321104595.757873,449702330.699457,450250610.865362,688768692.055879,639823621.835282,1697928559.6633,1362931996.45374,1319041038.82323,1339691347.10579,1646112434.98785,4637114676.52847,4356608031.04585,4167373947.47039,4353286909.41477,4246204316.75722,4357256165.95639,14528409116.7871,14696772199.7441,14449580324.7747,14638205824.2354,14293079126.2687,13871444025.0079,12249097634.3599,844809655.579188,2228545255.45598,7365705377.03391,26117844047.1731,98726588251.1777
"13",15,12.031603,8.9280695,5.9251116,0.018619564,1.3861366,5.7939122e-05,0.031953973,2859080.2,284316736932.976,15411.7025733448,338330283.15293,652367074.771402,690144790.699442,398626914.515655,428156673.666478,1088088261.56755,1243037716.38447,3477129941.47597,1532083037.55994,1213583995.28202,1310426402.11859,2480706000.06782,11691814342.8771,7086826917.40202,6067149907.55656,5593284408.13068,5915660275.14797,7756650772.20954,45942165615.0848,34674330576.4697,30983581546.3057,29693110712.6744,27904472030.5449,27241906007.8837,28913102729.4264,1680842148.62377,3157909566.13415,10013929376.5043,44111386623.3239,225352669218.39
"14",16,75.147475,17.064176,16.350421,0.018014995,4.4985718,8.2829586e-05,0.0054241392,558211.25,3093448328.48519,1083.87495838174,21748464.2095232,6326876.56409125,107066325.116711,8839777.90022253,40603146.1391446,2874727.80970609,201666424.618849,325398921.648782,70799315.4478618,17094906.2608583,5020664.58932288,2124839.80551765,496495539.996516,138729905.774205,44961197.4359262,17071604.4120084,6014790.14700671,2534286.279935,927981791.42188,375346541.947588,161130841.164677,71059748.4749942,28746550.7781398,10427693.4911781,3383447.05053957,135141665.890326,253984076.467922,420438647.752343,705807324.045598,1578076614.329
"15",13,1.3856735,23.483196,26.726522,0.010668903,6.3678164,1.9768736e-05,0.036100119,8562518,416635514197.543,16117.0002527969,469645330.542374,825416019.909268,821552501.022657,1105431032.45929,1099940403.59299,1710114942.50955,1719127089.96127,4614976727.20335,3554790487.25311,3265259742.05527,3545076557.62101,4609455373.41399,13762066583.6073,12381620781.8681,12202743361.5219,12260417819.4121,12330917392.1935,13650798477.2215,44420915991.7309,45903256502.5804,45038619658.3611,44856799398.1567,45670227248.8832,43929813529.1437,42886531245.3186,2116613851.4743,5634613468.5231,19589558887.5467,76588564415.8245,312706163574.175
"16",14,69.014817,37.070443,10.662101,0.018253324,7.2899022,5.315392e-05,0.029703811,7823913.6,80565325573.3191,4022.66675032494,378999886.092366,142299581.136429,1472167717.7941,240120493.483026,936433403.027905,114137368.381834,4122135398.90088,7513231173.24208,1991646759.9261,637764949.467488,215176116.849354,114021826.203573,12883907445.9576,4270925967.24997,1731286163.15758,789114125.616092,326643419.496726,147905327.594499,20950272161.6064,11037226136.0763,5656542157.06356,2975506124.00938,1291696294.07762,489011375.009844,137154201.898391,1993467185.02289,5412826663.79364,10471840825.6886,20149782449.0725,42537408449.7415
"17",17,123.61909,1.6106141,10.531155,0.0030156878,3.5964895,1.6846245e-05,0.023506822,5986561.1,988071056195.115,10834.293626713,76320447974.4583,71180148669.3047,157122053242.818,6428538073.70477,12572477054.0222,23660263178.7291,100429606977.127,97203635843.0425,7800185475.0739,1025275713.90441,1645512299.85117,14399765194.9402,101195207667.602,9299437842.74582,1777018879.89891,1019033016.78836,1678771684.88969,11643954832.5328,174874680764.73,41785281954.4032,20405347436.4313,13424089103.236,10386767841.2235,9865872674.94631,20927682798.7105,304622649886.581,143090885283.583,122074374526.812,126613423924.457,291669722573.681
"18",18,106.0158,22.59127,10.11384,0.0016645654,9.0986911,3.4844013e-05,0.0091539265,9387124.7,60424704356.3776,1584.83901693216,2393857648.6471,548191569.917164,7958319589.0082,613121590.603019,2209769538.73136,189890661.546464,7991426107.28397,8709541388.84434,2207311936.98911,613206117.085301,171778540.265715,69829485.1315194,8992843969.29552,2408334475.33677,596345814.994888,195156505.101433,62125078.7350179,32621354.5349354,10133722990.7165,2925229582.66711,920682725.044,292541897.39938,108559368.062265,48233237.9501223,32063182.4863892,10900368807.5725,11004207898.1648,11771667468.316,12287427197.9986,14461032984.3257
"19",19,167.47857,40.469193,3.3046039,0.017349967,8.7010434,2.3323256e-05,0.025043041,8374610.1,102186582196.562,6369.10565613249,13060219235.404,13271700278.4529,17910208079.8415,4569027219.45878,5495179684.49512,5636115270.61777,11237234381.9275,7250714130.64142,3060757493.63444,1851066493.11176,1711785751.32614,2286065229.30982,4558962362.22982,1972128427.14774,939216646.973137,671749159.82906,695951296.068532,793015051.128744,2023546582.4003,1353313851.39015,674319101.699153,382705904.481198,277455379.027888,282140764.957283,222004421.008225,44242127593.6984,26937556556.4992,16160389098.0236,9631022943.37703,5215486004.96419
"20",23,117.70541,29.206961,9.5007777,0.0013007179,3.2456649,1.011387e-05,0.022406634,4503935.5,57325956233.1791,4248.31543803751,3424352090.03711,1237004787.8009,8800720871.24585,975982202.625304,2460715926.25061,325729901.521397,8014082741.4602,7463401078.03309,2169419458.89643,786078245.165361,258191720.516192,130153249.309826,7341116723.73154,2123767042.10707,770397273.509348,236061464.807477,99111940.700314,61450573.5299857,6931402739.82246,2215260952.57846,876944215.109039,349345468.703056,151350433.671831,76049849.1812101,47865282.8649852,13462077749.0839,11776510771.8575,10807243751.9209,10631905018.3857,10648218941.931
"21",21,94.84718,28.610983,35.466855,0.019167453,3.2321276,2.57294e-05,0.032773713,44207.552,692037497.850254,4080.95343306353,14546842.0161881,2942936.73741716,61502947.1569826,4973196.50264334,21242676.422774,1328917.92902425,85604909.3631547,101437896.918136,27474206.1993194,7045942.9265237,1862417.3422803,589786.876306631,115282848.194618,34783193.0766914,8489617.75176649,2301948.07225886,680764.441211915,279585.156059509,142539903.750309,41430248.4809834,10964611.6043338,3237212.87035605,1023165.2204282,311531.517465423,160191.323021202,78992725.9105879,113149700.217596,138410250.262566,161817956.692606,199666864.766897
"22",27,137.19565,26.03045,37.604099,0.0091874248,6.564229,3.2334154e-05,0.047811546,9632295.4,305476990699.485,10226.0115330216,29085735428.0858,13063039313.6642,57032168494.6884,6456021294.75077,15390232015.7778,2717801680.38142,43418507123.3511,33596028098.9584,10416060242.9634,3978257055.42125,1562441966.97271,727088127.858407,32571847623.6491,10142565624.2747,3280346518.87837,1202393887.14332,497942503.558022,276503044.371969,24865167848.3107,9130340323.32943,3355350534.22114,1456032039.10084,668550946.746628,372861773.916205,213707189.110991,99180943236.4384,67982562114.261,50279875492.1742,47971599201.8755,40062010654.736
"23",22,16.55368,28.785935,7.4319927,0.011382359,3.4683195,3.403404e-05,0.012800464,6262318.4,59083908297.741,3580.23221572748,75989863.534805,105816367.589065,104421765.806495,174172837.8959,175572637.262781,257672098.510485,228649767.140775,728800996.909196,580492995.63782,529820857.712757,457776055.260094,621341606.297648,2203864717.44323,1982048495.47467,1918240508.54247,1788842361.01926,1554240191.73736,1557580954.31936,7951239615.39856,7189556116.50833,6454194980.65839,6577194309.31802,6159454222.47207,5509285058.65265,4197638916.63885,286227996.930364,836067340.809942,2918232511.81751,11004817228.5363,44038563219.6469
"24",25,126.21431,36.694202,38.904982,0.018914809,5.8985356,3.7047925e-05,0.044387815,9975575.1,171552392848.835,7294.2106559238,11684997182.3087,4568619782.68596,27879243635.7241,3502757656.41689,8619659413.22251,1330261915.74087,23669024473.5069,21876260068.4461,7175229628.88422,2438605253.43262,938249556.725977,417437764.165124,19916504316.6196,6485711185.44074,2175660387.87673,667379162.413038,307239280.60384,188503816.094632,17168620169.6086,6433129515.78723,2338887362.80644,948082050.781868,441385959.251721,241268725.427387,139674584.863384,44132860600.7187,37121703458.8871,32845782271.654,29740998149.0486,27711048368.5267
"25",26,163.85775,6.4475534,21.037163,0.0021954059,0.48856216,6.448101e-05,0.045999751,9449072.3,1685012607411.84,22212.7921877799,222502249474.49,235439896773.7,331258144771.591,45973968979.155,59360944761.6687,90322138377.009,180862127432.002,128977174210.375,29497046464.9862,11014110726.9452,14211829051.5563,43284777538.6039,97978213137.0863,20792333685.0976,5384507947.75203,3055819404.04868,6422091848.69873,21334980724.904,81727877910.6579,23225240862.5166,8118280418.61746,3930732639.36285,2999804857.65855,4832466542.30317,12505848871.0534,789200291019.782,376519179549.835,226984937992.466,154967946747.587,137340252102.17
"26",30,132.49474,27.70433,32.90775,0.0031032734,1.7779806,7.252577e-06,0.0062915983,5920582.9,23389237670.2398,1337.47513153108,1838609028.13575,857881667.781328,3666455666.74464,520242768.706415,1224123231.097,219849414.46109,3275158888.1486,2840721731.25824,906090007.375973,343548593.894689,132734933.940339,60333100.8799301,2708014986.96755,831363812.597603,287793170.593277,106884419.306437,44910070.1494283,26182777.7078022,2206080642.56821,763978798.833986,285124012.358352,122711744.23865,64311978.4463611,34813704.0975777,21318519.9505757,6362946362.66172,5239374302.41311,4283428367.34917,4005149237.3221,3498339400.49372
"27",29,8.5436125,24.26398,19.313852,0.012648605,8.9610328,9.5175061e-05,0.03918851,6569981.9,275000302930.227,14108.992021257,315297137.861828,510697205.198995,511010982.276062,692925269.418733,719403313.220483,1157457817.91056,1077549623.88934,3044092811.33311,2324043437.5431,2187804449.46707,2187558790.18131,2779846968.23782,9540707771.00399,8566753877.92829,8029142030.99844,7837100362.06935,7694257828.17349,8110100533.82379,33580696866.3043,30979982826.9489,30875499506.9058,31150948539.407,29320325691.6915,27535918896.602,24271180391.832,1337005325.33688,3647336024.43912,12523346456.7624,49778062403.9974,207714552719.691
