"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","hair_dots","hair_dxdy","domain_area","cmax","ctotal","raw_total_conc","total_conc","norm_conc","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18","hair19","hair20","hair21","hair22","hair23","hair24","hair25","row1","row2","row3","row4","row5"
"1",6,69.030374,17.982958,6.3977674,0.0031645426,1.0789461,3.3447187e-06,0.01963701,4068675.1,236,3.38098327906275e-07,0.0633772077626872,18962916.5327678,79350306093.1565,95866088551.5833,1201461841414251,63358494.4245328,722096618.498291,237671159.439462,2874227744.70139,337961909.356708,1289921542.09956,138142468.55178,5716422717.24875,8630091531.71675,2243491563.32894,726438535.768767,278251111.584116,150922085.058687,13938505000.5588,4360331756.43843,1972167587.32441,1055943891.67154,518113815.86004,270874604.854703,23829109864.7657,11673511321.396,6867022698.33212,4137478803.82672,2298574690.88114,1160010211.18002,438805317.14051,3833995522.63915,7482448637.2568,12029194827.4573,22115936656.7079,50404512907.5222
"2",7,93.494947,8.5671021,22.276396,0.014466964,9.3472651,1.4687879e-05,0.039232776,2254168.7,534,1.51965522354134e-07,0.0216155758996521,20651702.0262972,195595760689.203,204215211974.859,2516527990463742,121855718.587227,5478343232.5612,1748381192.65493,20500149489.254,1048456664.93789,4494094972.51802,424677958.844415,23199790435.9866,27686340354.5153,5118595182.58486,991673058.613961,239811333.254213,162221753.707528,33531289548.236,6616303462.98623,1377570373.12782,320017700.044457,98621898.5876885,90568487.9712608,52262672825.55,13461275248.1694,3702545814.47987,1090405041.16515,347013256.27545,130898658.100614,93494030.7316605,27726873914.4701,29167020032.2869,34198641682.6759,42034371470.9535,71088304874.4721
"3",2,8.4680309,18.367251,1.493913,0.019499157,7.2849846,3.4242964e-05,0.0371515,7949873.8,352,2.20704027532608e-07,0.0639070582123419,29687952.7134002,448954631170.63,458641575242.114,5903648588296310,198856709.497236,489735456.560501,832538331.499798,828690760.605745,997217075.785478,1017645688.70337,1759610609.9588,1751714351.79555,5015369444.33634,3523370752.68445,3164723756.43073,3258439382.60861,4501632221.11444,16684230921.7622,13244344562.3999,12592736209.9664,12173671695.0223,12053143701.0268,13130431836.2123,58861068290.4634,53221139143.2748,50846336747.6827,49857563545.0755,48910816217.8534,46776203526.275,43149201013.016,2150964548.66604,5526187726.24319,19463535557.1746,79878558926.3898,351622328483.641
"4",3,122.19565,48.3954,21.196413,0.019328281,7.8356224,2.1488788e-05,0.015253836,83597.137,61,1.38126787441064e-06,0.319266256491275,156329.54071247,309843215.074433,321393321.911817,3814425195698.56,24399900.2256027,23120075.7645486,6768342.61978376,51268643.7386708,6076667.25432447,16849848.597962,1729138.16977918,40303580.0169557,42593746.0690121,13135939.7655564,4663616.15259323,1488359.61165215,842049.609772247,37516910.1502626,12650654.0754281,4865486.89198993,1658978.80618279,705440.679729162,437384.664735947,31607638.9611441,14152641.691982,5291999.57849627,1997859.94179914,913460.340476519,471626.776433984,283231.982546011,81157062.1230032,64959234.0390214,62723711.2085861,57834855.2683285,54718459.272878
"5",4,122.27335,31.49183,19.111236,0.016411284,5.9060519,6.206599e-05,0.036216377,8349078.7,117,6.88954966758661e-07,0.153995214169896,22860749.2795851,147321050082.34,148884290141.031,1847022464091552,80794484.9708389,10201807918.1667,3393241320.46966,23812596336.142,2700180009.41333,6889130966.30991,967253829.434808,20057303121.3925,18812313647.8195,5939589110.32893,2027865060.99571,698428848.091556,292153261.451723,19169757831.9986,5725798895.41683,1841671414.64003,561879833.838818,222392589.413205,149629062.772075,16114827688.2395,5891261371.56579,1999018333.62671,770746100.804043,352631704.201225,172982592.760871,119829291.737378,37407645574.7783,30613867926.5505,27770349928.6874,27671129628.0796,25421297082.9355
"6",1,39.412654,15.840683,7.1866183,0.018975754,6.0273508,3.496961e-05,0.02232773,641618.37,300,2.59224585551424e-07,0.0558349019310924,2972164.47286115,18551874389.5426,19027449145.5295,244671354571484,82320933.7187022,15956258.0604944,15020305.6617964,36069068.1236418,28275145.5308747,46143620.2540616,36681637.9080445,142889180.628819,481916699.219887,176266979.089173,106727003.309526,81787463.8892764,91198209.360438,1476146885.10329,684398188.300132,475731178.0549,360874400.028129,283010400.354582,240899017.144979,4630761598.52499,2813138609.59795,2106916817.83208,1722480603.94398,1358845043.74776,988739710.505667,626575121.355071,67045631.8459327,253989584.3218,937896354.868301,3521060068.98602,14247457505.5075
"7",15,12.031603,8.9280695,5.9251116,0.018619564,1.3861366,5.7939122e-05,0.031953973,2859080.2,723,1.08730990877136e-07,0.025960611381825,18448106.922639,281993128018.302,284316736932.976,3616685816773504,196046447.038704,338330283.15293,652367074.771402,690144790.699442,398626914.515656,428156673.666478,1088088261.56755,1243037716.38447,3477129941.47597,1532083037.55994,1213583995.28202,1310426402.11859,2480706000.06782,11691814342.8771,7086826917.40202,6067149907.55656,5593284408.13068,5915660275.14797,7756650772.20954,45942165615.0848,34674330576.4697,30983581546.3057,29693110712.6744,27904472030.5449,27241906007.8837,28913102729.4264,1680842148.62377,3157909566.13415,10013929376.5043,44111386623.3239,225352669218.39
"8",8,149.57376,26.284447,40.385677,0.012259489,8.6852211,5.9184219e-05,0.030259764,2794733.2,157,4.90383013954965e-07,0.114094473558818,8713791.55571142,57883446354.3888,58694367251.926,762362199145293,87489148.0099276,6749387004.4618,3798608326.95409,11834914073.1145,1631085830.78577,3117995168.59238,760107903.83777,7930926597.43282,6503895775.57045,2108523200.6654,813328687.390182,371349016.613578,144004936.634018,5042941444.07499,1612152918.30441,554834342.673103,193292420.883242,99921385.596555,44284465.9106063,3194808033.21538,1263049080.55362,495790594.369979,237982729.180334,112322520.351418,56535304.7962048,22325489.9634524,22382909404.5304,13440115500.6487,9941101616.87363,7547426977.44291,5382813752.43039
"9",10,9.6230943,35.124458,34.647722,0.0021915276,4.5383802,1.1690359e-05,0.040949777,418110.62,136,5.51034112003014e-07,0.174953330560957,901201.568622436,10422505235.5426,11463464093.0363,152967257958465,169737008.106065,20876892.953927,28472505.7899719,30033965.8257662,46564402.2393382,45867345.492408,63839970.9367892,63001295.0214018,156394674.82461,122827450.613544,121698534.831022,131851420.119762,146195615.252303,433175934.808618,404808479.264424,372360593.682445,374417018.425971,386718794.228399,376663758.997582,1153268161.68756,1272574800.5727,1274116926.58742,1166842030.1747,1147643541.10067,1174320083.81434,948929895.790648,79383364.5696652,219273013.689937,678967695.641241,2348144579.40744,8137695439.72803
"10",23,117.70541,29.206961,9.5007777,0.0013007179,3.2456649,1.011387e-05,0.022406634,4503935.5,123,6.28566207455735e-07,0.134430197656143,13493808.7976962,53900505194.5579,57325956233.179,741472702945800,54949103.9974119,3424352090.03711,1237004787.8009,8800720871.24585,975982202.625304,2460715926.25061,325729901.521397,8014082741.4602,7463401078.03309,2169419458.89643,786078245.165361,258191720.516192,130153249.309826,7341116723.73154,2123767042.10707,770397273.509348,236061464.807477,99111940.700314,61450573.5299857,6931402739.82246,2215260952.57846,876944215.109039,349345468.703056,151350433.671831,76049849.1812101,47865282.8649852,13462077749.0839,11776510771.8575,10807243751.9209,10631905018.3857,10648218941.931
