"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","hair_dots","hair_dxdy","domain_area","cmax","ctotal","raw_total_conc","total_conc","norm_conc","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18","hair19","hair20","hair21","hair22","hair23","hair24","hair25","row1","row2","row3","row4","row5"
"11",10,9.6230943,35.124458,34.647722,0.0021915276,4.5383802,1.1690359e-05,0.040949777,418110.62,136,5.51034112003014e-07,0.174953330560957,901201.568622436,10422505235.5426,11463464093.0363,859079.32694992,0.00047112801718088,0.00182116791089432,0.00248376106549399,0.00261997294901555,0.00406198352098687,0.00400117670541411,0.00556899471387274,0.00549583393903358,0.0136428808565479,0.0107146888250086,0.0106162093624867,0.0115018827685654,0.0127531794984303,0.0377875248958784,0.0353129277484571,0.0324823797292341,0.0326617691988426,0.0337348982026574,0.0328577606158677,0.100603809836865,0.111011365346863,0.111145890652844,0.101787908149293,0.100113153562179,0.102440246184197,0.0827786337610716,4.31803497346885e-07,1.5240428227016e-06,5.33465831423941e-06,2.34165506395633e-05,8.85295142191826e-05
"12",9,6.2229799,28.70757,15.077804,0.018231998,9.311087,9.1635444e-06,0.015856545,8970199.8,205,3.79401257586818e-07,0.12257999351121,22897898.0724712,125753931867.632,135283492586.42,10521979.0796951,0.000682584256424609,0.00150018799794453,0.00237097950230883,0.00237356819829847,0.00332414784761847,0.0033282006714732,0.00509129886350243,0.00472950254020503,0.0125508924052848,0.0100746363831721,0.00975019947818557,0.00990284417923335,0.0121678735780443,0.0342770177489782,0.0322035449244691,0.0308047483680113,0.0321789955757822,0.0313874533808677,0.0322083358630984,0.107392327319656,0.108636847842731,0.106809633965831,0.108203931938587,0.105652795126783,0.102536117007378,0.0905439192925557,5.19824179678563e-07,1.70035949522816e-06,7.61414657910442e-06,3.08557538291557e-05,0.000143365198409428
"13",5,168.24472,35.19343,8.5455107,0.010450953,8.0149925,4.3101288e-05,0.048646078,191024.91,134,5.78688087495451e-07,0.178441943907747,413693.827899853,5386492330.52041,5565959454.95823,431607.893896978,0.00044904140450506,0.13500986071954,0.141426978362293,0.167074908792029,0.0441929557377696,0.0567662787573764,0.053156427249804,0.110304695149347,0.0704691738265602,0.0300027668699737,0.0171881138302122,0.0162334623653674,0.0239227789234742,0.0403142620962093,0.0178941383883739,0.00848212941310085,0.00571020609262624,0.00613760730416006,0.00785992050290307,0.0196030459556719,0.0119658189478198,0.0058378942320565,0.00305635524116541,0.00251960529605261,0.00249665997976569,0.0023739559663483,2.22934856171387e-05,1.86078317703763e-05,1.4807831578738e-05,8.97528604025006e-06,6.25400770466868e-06
"14",16,75.147475,17.064176,16.350421,0.018014995,4.4985718,8.2829586e-05,0.0054241392,558211.25,233,3.30911582433669e-07,0.0571550485179434,2854063.84247848,3073037682.06768,3093448328.48519,238512.286402507,0.00135796404802195,0.00703049215636103,0.00204525044295452,0.0346106718935047,0.00285758059018598,0.0131255291272401,0.000929295564188008,0.0651914637661338,0.105189706468485,0.0228868589127303,0.00552616512241191,0.00162299933801753,0.000686883884871014,0.160499057128148,0.0448463627133346,0.0145343295447715,0.00551863247716444,0.00194436418789386,0.000819243126383817,0.299982961692558,0.121335966239135,0.052087775212195,0.022971047494364,0.00929272052596932,0.00337089628915326,0.00109374610184499,6.87452217700576e-06,1.67480411285924e-05,3.72297374520396e-05,7.84562700741654e-05,0.000193255083045935
"15",13,1.3856735,23.483196,26.726522,0.010668903,6.3678164,1.9768736e-05,0.036100119,8562518,305,2.5650943876061e-07,0.085220643858315,25850686.0869002,404187310490.996,416635514197.543,32595637.2839378,0.000946306865040046,0.00112723307192602,0.00198114657003989,0.00197187343139723,0.0026532328493129,0.00264005435473142,0.00410458274495227,0.00412621351608102,0.0110767723104258,0.00853213508238677,0.00783720933714519,0.00850881990808914,0.0110635200705153,0.0330314294260623,0.0297181117786265,0.0292887738699494,0.0294272029186617,0.029596414544601,0.0327643660034924,0.106618169786336,0.110176053020809,0.108100769434184,0.107664368181749,0.109616740994454,0.105439435746985,0.102935371047088,5.51677844528693e-07,1.9721404991467e-06,9.19054087578602e-06,4.27760872831036e-05,0.000197938936213862
"16",18,106.0158,22.59127,10.11384,0.0016645654,9.0986911,3.4844013e-05,0.0091539265,9387124.7,156,4.86471054158652e-07,0.0872359353159462,38126714.2661242,59323772358.4403,60424704356.3776,4585599.66157362,0.000886078002730925,0.0396172008476602,0.00907230868162792,0.131706388533918,0.0101468695152715,0.0365706305437327,0.00314259976228452,0.132254285600663,0.144138750559316,0.0365299584085783,0.0101482683881858,0.00284285280491546,0.00115564463037624,0.148827272968633,0.039856785415659,0.00986923844058405,0.00322974695830407,0.00102814038391668,0.00053986783853403,0.167708275922196,0.0484111525877638,0.0152368594079323,0.00484142869237727,0.00179660569660374,0.000798237053269612,0.000530630357697481,1.84436350450036e-05,2.68945918172088e-05,3.65161302855072e-05,3.92710666441601e-05,6.11708694093397e-05
"17",17,123.61909,1.6106141,10.531155,0.0030156878,3.5964895,1.6846245e-05,0.023506822,5986561.1,1630,4.81989203120108e-08,0.00732103040403194,91198474.9756946,981068928794.277,988071056195.115,77627051.7032489,0.0108079010493213,0.0772418618032945,0.0720395038626136,0.159018981739904,0.00650614956626694,0.0127242640852537,0.0239459126247868,0.101642089754014,0.0983771715946789,0.00789435681388241,0.00103765382810885,0.00166537850646869,0.0145736130055171,0.102416933512137,0.00941170959764401,0.00179847276039224,0.00103133576315096,0.00169903943078177,0.0117845318507472,0.176985936050127,0.0422897540540362,0.0206517004100987,0.013586157613937,0.0105121668893137,0.00998498297575684,0.0211803419070884,0.000402711466688331,0.000245820169513645,0.000265420886804138,0.000332217180879831,0.000904271622115871
"18",11,95.346035,34.760372,9.2591084,0.0010040371,9.3565624,7.9856825e-05,0.042899685,1080204.3,80,1.00100744681427e-06,0.15713014094133,3494047.20581515,15553077017.3794,15798814265.7589,1265178.45846881,0.000517697378901355,0.0196770880055901,0.00393887811040729,0.0885036420702485,0.00717948673004412,0.0319008156331278,0.00195634271997922,0.129562870472116,0.148860261608371,0.0418628870447515,0.0102672264361246,0.00264039112548409,0.000938300794013515,0.170675051327857,0.0434781317046362,0.0133787414426357,0.00364202581503185,0.00107327472238333,0.000441067584858307,0.197651799439188,0.057800248382056,0.0174263315182648,0.00472718288542191,0.00165629128760609,0.000509674713114357,0.000251988426688867,7.2555034101833e-06,1.54558113578405e-05,2.25047848313786e-05,2.7103976815209e-05,3.80539531579347e-05
"19",14,69.014817,37.070443,10.662101,0.018253324,7.2899022,5.315392e-05,0.029703811,7823913.6,77,9.98220203730265e-07,0.198274482626535,20027839.8817927,78170918600.4044,80565325573.3191,6192489.04946931,0.000399533506156279,0.00470425562604416,0.00176626334125502,0.0182729692621218,0.00298044464879004,0.0116232808142219,0.0014167058541576,0.0511651305268977,0.0932563869105774,0.0247208925893757,0.00791612204045629,0.00267082786941054,0.00141527171139905,0.159918765973738,0.0530119618689206,0.021489221955443,0.00979471155860908,0.00405439209948281,0.00183584347908949,0.260040805551521,0.136997226257489,0.0702106286645088,0.0369328380768659,0.0160329060285632,0.00606974987725725,0.00170239741380518,1.15548926573422e-06,4.5319153263158e-06,1.01164608723516e-05,2.59546198388074e-05,5.47917709797375e-05
"20",25,126.21431,36.694202,38.904982,0.018914809,5.8985356,3.7047925e-05,0.044387815,9975575.1,91,8.88410945189156e-07,0.203090742070241,23518979.7691836,167288568415.228,171552392848.835,13869221.1367068,0.000408221319034965,0.0681132859079677,0.0266310466838643,0.162511540484837,0.0204180052417186,0.0502450549950522,0.00775426033790762,0.137969655103342,0.12751941086431,0.0418252961076838,0.0142149299869074,0.00546917207708507,0.00243329607493702,0.116095753523935,0.0378060082855019,0.0126821920216166,0.00389023522977674,0.00179093555911264,0.00109881193123744,0.100077998823001,0.0374995032651969,0.0136336621364843,0.00552648689439896,0.0025728930498839,0.00140638507817249,0.000814180336070622,9.232292908734e-06,1.55312134739813e-05,1.71777830974928e-05,1.55540340334103e-05,1.95647467112026e-05
