"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","hair_dots","hair_dxdy","domain_area","cmax","ctotal","raw_total_conc","total_conc","norm_conc","hair1","hair2","hair3","row1"
"1",6,69.030374,17.982958,6.3977674,0.0031645426,1.0789461,3.3447187e-06,0.01963701,4068675.1,101,9.27189269666019e-08,0.0101738624181913,61860732.9631453,289929136179.121,313811499973.028,2938722.82027518,0.000996278833295893,0.275355452204311,0.128719019822012,0.595925527973677,0.000996278833295893
"2",7,93.494947,8.5671021,22.276396,0.014466964,9.3472651,1.4687879e-05,0.039232776,2254168.7,162,5.7897792647969e-08,0.00502946545174377,54784701.723132,514543431288.372,528640436219.702,4958352.52657598,0.00191599130211614,0.230409359930721,0.110970829224747,0.658619810844532,0.00191599130211614
"3",1,39.412654,15.840683,7.1866183,0.018975754,6.0273508,3.496961e-05,0.02232773,641618.37,152,6.22743023878677e-08,0.0115152658031454,7063516.60412849,77255144207.5999,77883798380.537,737224.200142724,0.000828701659084497,0.308307363658923,0.2071328702301,0.484559766110977,0.000828701659084497
"4",2,8.4680309,18.367251,1.493913,0.019499157,7.2849846,3.4242964e-05,0.0371515,7949873.8,271,3.54556364902379e-08,0.0110770499522801,68650305.7301881,2794291049516.29,2812882870626.54,27027521.7411994,0.000873193454466101,0.330586387300962,0.303982587995529,0.365431024703509,0.000873193454466101
"5",4,122.27335,31.49183,19.111236,0.016411284,5.9060519,6.206599e-05,0.036216377,8349078.7,65,1.44888334843662e-07,0.0208297265704643,77506015.110024,701385403263.385,704667169941.462,6636373.43666795,0.000454245385159601,0.293027027735901,0.132146087620039,0.57482688464406,0.000454245385159601
"6",15,12.031603,8.9280695,5.9251116,0.018619564,1.3861366,5.7939122e-05,0.031953973,2859080.2,286,3.31909125732914e-08,0.00721650097533532,36666796.8368166,923973144515.075,926575409967.847,8795610.65949409,0.00131910684435618,0.306204801518202,0.30804306809216,0.385752130389639,0.00131910684435618
"7",14,69.014817,37.070443,10.662101,0.018253324,7.2899022,5.315392e-05,0.029703811,7823913.6,48,1.9688180483896e-07,0.0209033349833621,84367458.9349918,397211105610.434,400454952826.646,3784430.10572211,0.000455788670702387,0.248757189609422,0.0957884824972505,0.655454327893327,0.000455788670702387
"8",8,149.57376,26.284447,40.385677,0.012259489,8.6852211,5.9184219e-05,0.030259764,2794733.2,124,7.50572817266641e-08,0.0184926130718155,21033047.3523339,378120273052.507,377356728189.959,3512097.91214154,0.000502271307075218,0.33627186025272,0.219556252732624,0.444171887014656,0.000502271307075218
"9",3,122.19565,48.3954,21.196413,0.019328281,7.8356224,2.1488788e-05,0.015253836,83597.137,39,2.4263358008078e-07,0.0357447790175006,585218.373949563,1766177800.32956,1800158285.82452,17034.3751344657,0.00026982312570125,0.314835675029213,0.130848455881975,0.554315869088812,0.00026982312570125
"10",9,6.2229799,28.70757,15.077804,0.018231998,9.311087,9.1635444e-06,0.015856545,8970199.8,254,3.65474129388113e-08,0.01527988859111,57013008.8215611,1304965831872.26,1296457159699.98,12035067.4139506,0.000603572159161564,0.349492909814971,0.304618895034933,0.345888195150096,0.000603572159161564
"11",16,75.147475,17.064176,16.350421,0.018014995,4.4985718,8.2829586e-05,0.0054241392,558211.25,104,9.14619689828582e-08,0.00878144656598218,9765995.22036278,11145726238.8031,11131450022.1861,105882.851012996,0.00108181049880204,0.227983782588339,0.0958409835389811,0.67617523387268,0.00108181049880204
"12",23,117.70541,29.206961,9.5007777,0.0013007179,3.2456649,1.011387e-05,0.022406634,4503935.5,68,1.40588233512506e-07,0.0179975433013369,47666924.801553,241357356285.172,251924888255.882,2408401.90120563,0.00055444081609689,0.27738340797423,0.127189164907719,0.595427427118052,0.00055444081609689
"13",5,168.24472,35.19343,8.5455107,0.010450953,8.0149925,4.3101288e-05,0.048646078,191024.91,186,5.0007298156715e-08,0.0205261956305979,1057211.66801874,62310414062.1846,62620604014.2262,582456.622118896,0.000455401530956027,0.357292258102644,0.278461147684304,0.364246594213051,0.000455401530956027
"14",17,123.61909,1.6106141,10.531155,0.0030156878,3.5964895,1.6846245e-05,0.023506822,5986561.1,285,3.34888698049177e-08,0.00418503708178096,132981757.008341,1413039237012.2,1412242781408.44,13478908.1722638,0.00227929838477967,0.254106788099376,0.266706659912372,0.479186551988252,0.00227929838477967
"15",11,95.346035,34.760372,9.2591084,0.0010040371,9.3565624,7.9856825e-05,0.042899685,1080204.3,51,1.97294346378843e-07,0.0116261612434125,20964793.6597523,79340463713.072,79311258029.4174,798030.803483283,0.00086514435590856,0.163498774329604,0.0381473722670466,0.798353853403349,0.00086514435590856
"16",12,120.80689,40.575682,43.83535,0.011850935,6.5450626,5.3663341e-05,0.010003338,9999914.5,50,1.98020016404264e-07,0.0278645846283425,81126356.4985069,169801044436.357,170191837582.079,1685069.52349376,0.00035614339403127,0.28973309646973,0.12281653399606,0.587450369534211,0.00035614339403127
"17",10,9.6230943,35.124458,34.647722,0.0021915276,4.5383802,1.1690359e-05,0.040949777,418110.62,206,4.54515315033034e-08,0.0196490606811301,2304556.59495624,126304932712.104,127233197720.544,1191286.40105904,0.000480014192758805,0.35612475257476,0.290450468410784,0.353424779014456,0.000480014192758805
"18",24,74.879884,49.401541,38.570768,0.0011661162,3.2905872,8.3806572e-05,0.013302457,8406774.2,32,2.98275518455869e-07,0.0250014539569709,93290330.9796458,126318812709.555,126275910460.567,1205280.4051556,0.000381640798024077,0.223200654313264,0.0678052353205092,0.708994110366227,0.000381640798024077
"19",13,1.3856735,23.483196,26.726522,0.010668903,6.3678164,1.9768736e-05,0.036100119,8562518,319,2.91183768088238e-08,0.0118928768767815,62411104.4149088,3559604972456.96,3573152485556.64,33190163.7498736,0.000784008312824033,0.34204682516913,0.324315959500418,0.333637215330453,0.000784008312824033
"20",31,59.082161,29.673902,18.551021,0.010716592,6.7193949,9.4062374e-05,0.02289202,380074.92,71,1.38089422963201e-07,0.0191507935342285,3746505.36039167,21178992419.5842,21216926508.4175,208018.1528406,0.000512872208949129,0.285493179014925,0.127082925495509,0.587423895489567,0.000512872208949129
