"angle","gap","Re","row1"
59.401706,39.539419,2.505,1.12749116511511
90,2.8220488,2.505,0.434004351892897
90,3.9368763,1.0645111,0.595757897021249
90,3.9368763,2.505,0.677674236972816
90,3.9368763,3.9454889,0.714678125193653
90,6.0787324,0.57238131,0.844192308508791
90,6.0787324,1.0645111,0.916298280086679
90,6.0787324,2.505,0.988942958575984
90,6.0787324,3.9454889,1.01989177632146
90,6.0787324,4.4376187,1.02717831229791
90,10.960581,0.3564649,1.14542770286944
90,10.960581,0.57238131,1.19871062081385
90,10.960581,1.0645111,1.24607103006449
90,10.960581,1.6567473,1.27158199238125
90,10.960581,2.505,1.29173321720678
90,10.960581,3.3532527,1.30424570488744
90,10.960581,3.9454889,1.3106491323219
90,10.960581,4.4376187,1.3150690666136
90,10.960581,4.6535351,1.31679866362208
90,11.922885,2.505,1.31908352049999
90,16.835469,1.0645111,1.35359278288515
90,16.835469,2.505,1.38148255772889
90,16.835469,3.9454889,1.39302450633608
90,25.25,0.24408128,1.27203295145029
90,25.25,0.3564649,1.29555553134026
90,25.25,0.57238131,1.31604990163973
90,25.25,1.0645111,1.33359454503361
90,25.25,1.1615191,1.33520547667091
90,25.25,1.6567473,1.34283473986938
90,25.25,2.505,1.35009509897403
90,25.25,3.3532527,1.35426820262335
90,25.25,3.8484809,1.35642320522883
90,25.25,3.9454889,1.3567689214445
90,25.25,4.4376187,1.35827385987776
90,25.25,4.6535351,1.35889829447027
90,25.25,4.7659187,1.35943184123452
90,33.664531,1.0645111,1.26804839245897
90,33.664531,2.505,1.28007624131627
90,33.664531,3.9454889,1.28506250598778
90,38.577115,2.505,1.24148085315867
90,39.539419,0.3564649,1.1999265996522
90,39.539419,0.57238131,1.21268997883424
90,39.539419,1.0645111,1.22383907236392
90,39.539419,1.6567473,1.22966561574178
90,39.539419,2.505,1.23436793266408
90,39.539419,3.3532527,1.23711091160541
90,39.539419,3.9454889,1.23859611719691
90,39.539419,4.4376187,1.23960407151996
90,39.539419,4.6535351,1.23999649931056
90,44.421268,0.57238131,1.18227264799721
90,44.421268,1.0645111,1.19239280063038
90,44.421268,2.505,1.20194545168352
90,44.421268,3.9454889,1.20575851033131
90,44.421268,4.4376187,1.20666408425818
90,46.563124,1.0645111,1.17999218630682
90,46.563124,2.505,1.18916859031034
90,46.563124,3.9454889,1.19283955451644
90,47.677951,2.505,1.18283957199426
120.59829,10.960581,2.505,1.11845382791789
120.59829,25.25,1.0645111,1.16971493440797
120.59829,25.25,2.505,1.18534834382124
120.59829,25.25,3.9454889,1.19144176241243
120.59829,39.539419,2.505,1.12649453846466
138.46224,25.25,2.505,0.981933894443403
141.96152,3.9368763,2.505,0.441227109026222
141.96152,6.0787324,1.0645111,0.578576270577032
141.96152,6.0787324,2.505,0.626566780746992
141.96152,6.0787324,3.9454889,0.646283346815423
141.96152,10.960581,0.57238131,0.750457910565116
141.96152,10.960581,1.0645111,0.782905260404999
141.96152,10.960581,2.505,0.813919595157107
141.96152,10.960581,3.9454889,0.826246969498073
141.96152,10.960581,4.4376187,0.829041549385487
141.96152,16.835469,2.505,0.894349230841035
141.96152,25.25,0.3564649,0.899775118392815
141.96152,25.25,0.57238131,0.914834897690065
141.96152,25.25,1.0645111,0.927872315659964
141.96152,25.25,1.6567473,0.935054944986478
141.96152,25.25,2.505,0.940393357786039
141.96152,25.25,3.3532527,0.943701509674429
141.96152,25.25,3.9454889,0.945359175138292
141.96152,25.25,4.4376187,0.946450905948683
141.96152,25.25,4.6535351,0.946873718037968
141.96152,33.664531,2.505,0.966649287021331
141.96152,39.539419,0.57238131,0.96403735380222
141.96152,39.539419,1.0645111,0.971809866414018
141.96152,39.539419,2.505,0.979012076181728
141.96152,39.539419,3.9454889,0.981873616926605
141.96152,39.539419,4.4376187,0.982516358453625
141.96152,44.421268,1.0645111,0.980285246399387
141.96152,44.421268,2.505,0.986762186302027
141.96152,44.421268,3.9454889,0.989391972901455
141.96152,46.563124,2.505,0.989676614874819
159.7137,6.0787324,2.505,0.381546965806241
159.7137,10.960581,1.0645111,0.496809901811624
159.7137,10.960581,2.505,0.518480244249537
159.7137,10.960581,3.9454889,0.527078543885218
159.7137,25.25,0.57238131,0.744080411917918
159.7137,25.25,1.0645111,0.753061290033511
159.7137,25.25,2.505,0.761562032661556
159.7137,25.25,3.9454889,0.765158552904613
159.7137,25.25,4.4376187,0.765684618013135
159.7137,39.539419,1.0645111,0.880505116205701
159.7137,39.539419,2.505,0.884988137590311
159.7137,39.539419,3.9454889,0.886934336993145
159.7137,44.421268,2.505,0.910223950257447
167.50227,10.960581,2.505,0.421015944428897
167.50227,25.25,1.0645111,0.712340494944171
167.50227,25.25,2.505,0.718654847777604
167.50227,25.25,3.9454889,0.721277618696525
167.50227,39.539419,2.505,0.865080210281303
171.55619,25.25,2.505,0.708579777228491
