"angle","gap","Re","hair1","hair2","hair3"
8.4438139,25.25,2.505,30.6489237546921,113.827889442444,91.9820237138299
12.497732,10.960581,2.505,22.9871778488159,91.1240491867065,39.0901184082031
12.497732,25.25,1.0645111,20.1953020095825,80.7733917236328,64.5935478210449
12.497732,25.25,2.505,23.2225828170776,92.7365875244141,75.7616882324219
12.497732,25.25,3.9454889,24.5629634857178,103.874379143045,80.185977935791
12.497732,39.539419,2.505,23.23020362854,146.528411865234,104.043497080386
20.2863,6.0787324,2.505,43.7832068300345,78.9461046521539,21.7275054454803
20.2863,10.960581,1.0645111,37.26797308242,87.352332276384,22.9611957921023
20.2863,10.960581,2.505,44.8987638249917,105.706275904927,29.8552704429949
20.2863,10.960581,3.9454889,49.6620672761878,117.276732596962,33.9671150406736
20.2863,25.25,0.57238131,33.3737127034322,97.3464603424072,50.775448468274
20.2863,25.25,1.0645111,37.904997680187,111.144260406494,60.1405782532002
20.2863,25.25,2.505,45.4551755548571,135.117153167725,76.5728422912547
20.2863,25.25,3.9454889,50.2021521719875,149.599360466003,86.4497851789253
20.2863,25.25,4.4376187,51.4931918076505,153.373539924622,89.0211244796366
20.2863,39.539419,1.0645111,37.9453438455276,111.147493362427,70.0315141677856
20.2863,39.539419,2.505,45.4884359357132,135.140811920166,88.4685678482056
20.2863,39.539419,3.9454889,50.2329472730097,149.453380584717,99.8341302871704
20.2863,44.421268,2.505,45.4906516119869,154.122221946716,118.977675437927
38.038476,3.9368763,2.505,84.3196334838867,104.57011883615,67.8324527740479
38.038476,6.0787324,1.0645111,74.3453216552734,98.6902313232421,50.5495200753212
38.038476,6.0787324,2.505,87.1540908813477,120.430128097534,61.5812268257141
38.038476,6.0787324,3.9454889,93.5827331542969,134.335097312927,67.6331257820129
38.038476,10.960581,0.57238131,68.6517887115478,108.354086399078,26.2454900741577
38.038476,10.960581,1.0645111,77.2384281158447,123.467887163162,30.5246343612671
38.038476,10.960581,2.505,89.6195259094238,149.761020183563,37.7184023857117
38.038476,10.960581,3.9454889,95.9462356567383,165.923361301422,42.0650486946106
38.038476,10.960581,4.4376187,97.4592781066895,170.226525783539,43.2095441818237
38.038476,16.835469,2.505,90.4577178955078,149.726173400879,41.6430068016052
38.038476,25.25,0.3564649,63.8333072662353,100.275292667781,39.3624539375305
38.038476,25.25,0.57238131,70.2330513000488,111.138866083487,44.040901184082
38.038476,25.25,1.0645111,78.581672668457,128.595589708756,51.1381635665894
38.038476,25.25,1.6567473,84.8160247802734,143.429742029875,56.9910221099854
38.038476,25.25,2.505,90.7915000915527,158.927033058051,63.0173001289368
38.038476,25.25,3.3532527,94.899227142334,170.676136335866,67.4883456230164
38.038476,25.25,3.9454889,97.0770416259766,177.390123533025,70.0037660598755
38.038476,25.25,4.4376187,98.5802688598633,182.236566333362,71.8018236160278
38.038476,25.25,4.6535351,99.1695556640625,184.198773884627,72.5197105407715
38.038476,33.664531,2.505,90.8815307617187,144.611584663391,86.7863612174988
38.038476,39.539419,0.57238131,70.3863372802734,96.5135669096033,65.5801167488098
38.038476,39.539419,1.0645111,78.7130165100098,112.325461348836,75.6555953025818
