"angle","gap","Re","total.conc","hair1","hair2","hair3","row1"
8.4438139,25.25,2.505,23839.0731633214,7610.6975041416,7362.06903753578,8866.30662164404,23839.0731633214
12.497732,10.960581,2.505,28639.5935349823,8474.58648153756,9196.6148934725,10968.3921599722,28639.5935349823
12.497732,25.25,1.0645111,21343.6477406125,6605.04937124898,6231.87592322004,8506.72244614352,21343.6477406125
12.497732,25.25,2.505,21353.2987825167,6608.49777257732,6233.75320683385,8511.04780310549,21353.2987825167
12.497732,25.25,3.9454889,21357.4612438611,6610.07469625051,6235.32469336662,8512.06185424396,21357.4612438611
12.497732,39.539419,2.505,15250.8881960096,4848.18018582058,4122.99324388165,6279.71476630737,15250.8881960096
20.2863,6.0787324,2.505,28949.8195973624,8486.16375314192,9021.27195893929,11442.3838852811,28949.8195973624
20.2863,10.960581,1.0645111,26135.8604560119,7903.11016451541,7807.34258859768,10425.4077028988,26135.8604560119
20.2863,10.960581,2.505,26149.0248582056,7907.07089103524,7809.58987038394,10432.3640967864,26149.0248582056
20.2863,10.960581,3.9454889,26154.7601139672,7909.05111417297,7810.55013865226,10435.158861142,26154.7601139672
20.2863,25.25,0.57238131,17577.8076810578,5329.01898788254,4537.29187902635,7711.4968141489,17577.8076810578
20.2863,25.25,1.0645111,17582.673288614,5331.19593041496,4539.22389658677,7712.25346161225,17582.673288614
20.2863,25.25,2.505,17591.5178313237,5334.69443863941,4540.37162079756,7716.45177188678,17591.5178313237
20.2863,25.25,3.9454889,17594.9479377916,5335.93700785046,4541.06928602198,7717.94164391916,17594.9479377916
20.2863,25.25,4.4376187,17595.617964159,5336.18127215546,4541.16939654206,7718.26729546146,17595.617964159
20.2863,39.539419,1.0645111,11648.4127816653,3547.4080960313,2585.06431737815,5515.94036825586,11648.4127816653
20.2863,39.539419,2.505,11652.9800796386,3549.5081273348,2585.41172206033,5518.06023024348,11652.9800796386
20.2863,39.539419,3.9454889,11654.6645226318,3550.40642424604,2585.48952633819,5518.76857204758,11654.6645226318
20.2863,44.421268,2.505,9789.5191766083,3001.54980414567,2081.28555304108,4706.68381942156,9789.5191766083
38.038476,3.9368763,2.505,27979.8636953339,7694.31795207373,8214.23916127631,12071.3065819838,27979.8636953339
38.038476,6.0787324,1.0645111,26452.9444882881,7462.60093869141,7343.34564881767,11646.997900779,26452.9444882881
38.038476,6.0787324,2.505,26471.3821187721,7468.33756159118,7343.07275191172,11659.9718052692,26471.3821187721
38.038476,6.0787324,3.9454889,26477.7746607574,7470.31042179281,7342.95583678993,11664.5084021747,26477.7746607574
38.038476,10.960581,0.57238131,22268.4414932895,6503.15294511993,5629.81396469373,10135.4745834759,22268.4414932895
38.038476,10.960581,1.0645111,22279.849389083,6506.64150905091,5631.08021994089,10142.1276600912,22279.849389083
38.038476,10.960581,2.505,22298.9463535185,6513.60798516958,5631.8900762001,10153.4482921488,22298.9463535185
38.038476,10.960581,3.9454889,22299.9510600801,6513.34546282939,5632.5398658562,10154.0657313945,22299.9510600801
38.038476,10.960581,4.4376187,22305.8006598272,6515.81398591165,5632.36923595372,10157.6174379619,22305.8006598272
38.038476,16.835469,2.505,17855.8731448606,5220.92823647502,3991.93092994007,8643.01397844553,17855.8731448606
38.038476,25.25,0.3564649,12838.8150519155,3638.40777986978,2381.34215847287,6819.06511357285,12838.8150519155
38.038476,25.25,0.57238131,12846.6867924841,3641.70694428816,2382.00365045064,6822.9761977453,12846.6867924841
38.038476,25.25,1.0645111,12858.8869390082,3645.67435297912,2383.00143388858,6830.21115214045,12858.8869390082
38.038476,25.25,1.6567473,12863.0693895196,3646.80487162223,2383.51811191439,6832.74640598297,12863.0693895196
38.038476,25.25,2.505,12863.6414747824,3646.92373974275,2384.09217115616,6832.62556388344,12863.6414747824
38.038476,25.25,3.3532527,12865.6342268324,3648.47093695835,2383.42889678875,6833.73439308529,12865.6342268324
38.038476,25.25,3.9454889,12866.5068758472,3648.77477102732,2383.50049983784,6834.23160498206,12866.5068758472
38.038476,25.25,4.4376187,12867.1054360496,3649.02588396074,2383.51622664079,6834.56332544804,12867.1054360496
38.038476,25.25,4.6535351,12867.3425551153,3649.11036346038,2383.53685750956,6834.6953341454,12867.3425551153
38.038476,33.664531,2.505,9180.70625635009,2603.10542834211,1422.92898471071,5154.67184329728,9180.70625635009
38.038476,39.539419,0.57238131,7261.01324709241,1978.10184232622,952.035087796745,4330.87631696944,7261.01324709241
38.038476,39.539419,1.0645111,7266.8796392003,1982.08115664857,952.193024516438,4332.60545803529,7266.8796392003
38.038476,39.539419,2.505,7267.70137209293,1981.51447270431,951.195831696785,4334.99106769184,7267.70137209293
38.038476,39.539419,3.9454889,7271.23639454401,1984.26078872063,951.381684243105,4335.59392158028,7271.23639454401
38.038476,39.539419,4.4376187,7269.39553586444,1982.26126399134,951.220521158972,4335.91375071413,7269.39553586444
38.038476,44.421268,1.0645111,6036.01859490786,1579.77773377184,666.411999963874,3789.82886117215,6036.01859490786
38.038476,44.421268,2.505,6038.76144249734,1580.89251263688,666.457422430494,3791.41150742996,6038.76144249734
38.038476,44.421268,3.9454889,6039.97609642365,1581.58754164756,666.426991971508,3791.96156280459,6039.97609642365
38.038476,46.563124,2.505,5599.14950732102,1417.37699645916,590.832985288097,3590.93952557377,5599.14950732102
41.537762,25.25,2.505,12116.1856514293,3479.3428058636,2082.49021273902,6554.35263282671,12116.1856514293
59.401706,10.960581,2.505,20551.5312519322,5731.79771635839,4205.52488643805,10614.2086491358,20551.5312519322
59.401706,25.25,1.0645111,10776.4687223232,2751.13343165783,1299.9979870759,6725.33730358947,10776.4687223232
59.401706,25.25,2.505,10783.8391256341,2753.5554601295,1300.54283773427,6729.74082777028,10783.8391256341
59.401706,25.25,3.9454889,10785.7776194063,2754.17124484281,1300.86642171311,6730.73995285034,10785.7776194063
59.401706,39.539419,2.505,5875.95544337763,1252.2575157489,372.688119253585,4251.00980837514,5875.95544337763
90,2.8220488,2.505,28476.2795865194,7368.8932962143,7362.76190367577,13744.6243866293,28476.2795865194
90,3.9368763,1.0645111,27747.4527387747,7464.69191545686,6765.82364232949,13516.9371809883,27747.4527387747
90,3.9368763,2.505,27774.0703737454,7471.40158739821,6762.45164633978,13540.2171400075,27774.0703737454
90,3.9368763,3.9454889,27786.7475213813,7474.59268069767,6762.84745481366,13549.30738587,27786.7475213813
90,6.0787324,0.57238131,26196.6280844282,7133.10861506992,5630.95991880254,13432.5595505558,26196.6280844282
90,6.0787324,1.0645111,26229.1889273552,7141.92777458863,5630.27780263972,13456.9833501269,26229.1889273552
90,6.0787324,2.505,26256.4658220321,7148.93967780391,5630.33952671277,13477.1866175155,26256.4658220321
