"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","total_conc","norm_conc","hair1","hair2","hair3","row1"
"1",6,69.030374,17.982958,6.3977674,0.0031645426,1.0789461,3.3447187e-06,0.01963701,4068675.1,971139.574299066,0.0156988048440622,86409707481.9863,40393508685.4035,187008283805.638,313811499973.028
"2",7,93.494947,8.5671021,22.276396,0.014466964,9.3472651,1.4687879e-05,0.039232776,2254168.7,1662234.79299877,0.0303412219235817,121803704542.879,58663667569.0322,348173064107.791,528640436219.702
"3",1,39.412654,15.840683,7.1866183,0.018975754,6.0273508,3.496961e-05,0.02232773,641618.37,245862.779984917,0.0348074187071656,24012148550.4465,16132294702.983,37739355127.1075,77883798380.537
"4",2,8.4680309,18.367251,1.493913,0.019499157,7.2849846,3.4242964e-05,0.0371515,7949873.8,9013196.97824303,0.131291432461598,929900786101.185,855067414741.348,1027914669784,2812882870626.54
"5",15,12.031603,8.9280695,5.9251116,0.018619564,1.3861366,5.7939122e-05,0.031953973,2859080.2,2933538.83524122,0.0800053205709994,283721839500.851,285425132105.247,357428438361.75,926575409967.847
"6",8,149.57376,26.284447,40.385677,0.012259489,8.6852211,5.9184219e-05,0.030259764,2794733.2,1170782.53303313,0.0556639517527269,126894448967.318,82851029184.8307,167611250037.811,377356728189.959
"7",3,122.19565,48.3954,21.196413,0.019328281,7.8356224,2.1488788e-05,0.015253836,83597.137,5388.56355157387,0.00920778258414402,566754049.076994,235547932.043281,997856304.704245,1800158285.82452
"8",14,69.014817,37.070443,10.662101,0.018253324,7.2899022,5.315392e-05,0.029703811,7823913.6,1237355.89438951,0.0146662695547455,99616048630.3302,38358972239.7724,262479931956.543,400454952826.646
"9",4,122.27335,31.49183,19.111236,0.016411284,5.9060519,6.206599e-05,0.036216377,8349078.7,2187468.45751939,0.0282232089266125,206486526351.015,93119009582.0494,405061634008.397,704667169941.462
"10",23,117.70541,29.206961,9.5007777,0.0013007179,3.2456649,1.011387e-05,0.022406634,4503935.5,816046.629720212,0.017119766654081,69879784057.9435,32042116156.7359,150002988041.202,251924888255.882
