"angle","gap","Re","total.conc","hair1","hair2","hair3","row1"
8.4438139,25.25,2.505,53.8972410690513,15.06277741092,21.1995521171011,17.6349115410302,53.8972410690513
12.497732,10.960581,2.505,92.7967869246755,24.4397623937136,40.3821117346235,27.9749127963384,92.7967869246755
12.497732,25.25,1.0645111,52.1750688637593,13.443424069326,21.8436278566422,16.8880169377912,52.1750688637593
12.497732,25.25,2.505,56.5514975029459,13.9518716736574,24.3198575517479,18.2797682775407,56.5514975029459
12.497732,25.25,3.9454889,59.1173333263897,14.2182218757236,25.7623706271891,19.136740823477,59.1173333263897
12.497732,39.539419,2.505,33.2829777922965,10.5016799147383,12.5283350178239,10.2529628597343,33.2829777922965
20.2863,6.0787324,2.505,105.642268201828,39.2461606617735,41.3824791244734,25.0136284155808,105.642268201828
20.2863,10.960581,1.0645111,100.392047996053,30.4406842223734,47.8287776535175,22.1225861201621,100.392047996053
20.2863,10.960581,2.505,107.388180060285,31.7199378553098,52.2927923478703,23.3754498571044,107.388180060285
20.2863,10.960581,3.9454889,112.345417138336,32.5296897827417,55.7192010893264,24.0965262662679,112.345417138336
20.2863,25.25,0.57238131,47.1676750447048,14.6493871113616,16.8329506469993,15.6853372863439,47.1676750447048
20.2863,25.25,1.0645111,48.8702385050809,14.4784960118962,18.0061265441224,16.3856159490623,48.8702385050809
20.2863,25.25,2.505,51.9728021327054,14.8606230902613,19.3729902487766,17.7391887936675,51.9728021327054
20.2863,25.25,3.9454889,54.8490953091811,15.5257972301233,20.760164025487,18.5631340535708,54.8490953091811
20.2863,25.25,4.4376187,55.4243668770032,15.5997484588146,21.0462331291827,18.7783852890059,55.4243668770032
20.2863,39.539419,1.0645111,31.7312199178523,11.2143354503424,10.0967409676114,10.4201434998984,31.7312199178523
20.2863,39.539419,2.505,34.9361997058494,12.4716537289015,11.0227250728408,11.4418209041071,34.9361997058494
20.2863,39.539419,3.9454889,35.5553917830232,11.8619444284328,11.6235814370752,12.0698659175151,35.5553917830232
20.2863,44.421268,2.505,26.046784740779,8.09294485771867,9.30002781853687,8.6538120645235,26.046784740779
38.038476,3.9368763,2.505,185.193930499263,59.4343952160492,68.9844428835152,56.7750923996985,185.193930499263
38.038476,6.0787324,1.0645111,164.298939367349,53.268974240854,62.2957709184059,48.7341942080893,164.298939367349
38.038476,6.0787324,2.505,177.107090373661,56.4651992413468,67.972207137727,52.6696839945878,177.107090373661
38.038476,6.0787324,3.9454889,186.17421005498,59.2193432100057,71.8016545448479,55.1532123001267,186.17421005498
38.038476,10.960581,0.57238131,106.972075290317,39.5368266875984,44.3095566297751,23.1256919729438,106.972075290317
38.038476,10.960581,1.0645111,109.426289510583,40.6553363032221,45.4385698722814,23.3323833350792,109.426289510583
38.038476,10.960581,2.505,122.408482917871,44.6314235937307,52.0671903396976,25.7098689844431,122.408482917871
38.038476,10.960581,3.9454889,127.175011269951,47.2503297264936,54.5124997599813,25.4121817834763,127.175011269951
38.038476,10.960581,4.4376187,131.61558455788,47.782200467429,56.678739901732,27.1546441887192,131.61558455788
38.038476,16.835469,2.505,80.294518883049,35.5749633596606,28.0742957368379,16.6452597865504,80.294518883049
38.038476,25.25,0.3564649,44.9044365683853,19.6740019070114,13.4070951987532,11.8233394626207,44.9044365683853
38.038476,25.25,0.57238131,47.1297375807985,21.0745201466482,13.8730640867493,12.182153347401,47.1297375807985
38.038476,25.25,1.0645111,50.5396026847061,23.3565142132369,14.6479719957465,12.5351164757227,50.5396026847061
38.038476,25.25,1.6567473,52.9565014241263,24.5519483771285,15.426140321419,12.9784127255788,52.9565014241263
38.038476,25.25,2.505,55.6465895899164,25.8848386285346,16.1238700505774,13.6378809108044,55.6465895899164
38.038476,25.25,3.3532527,57.907634376863,27.2025300455161,16.7306930130511,13.9744113182959,57.907634376863
38.038476,25.25,3.9454889,59.0729709680478,27.8342304122259,17.0753045810747,14.1634359747471,59.0729709680478
38.038476,25.25,4.4376187,59.8974016874669,28.260871087919,17.3360684486249,14.300462150923,59.8974016874669
38.038476,25.25,4.6535351,60.2605825174639,28.4522544814542,17.4498866372661,14.3584413987436,60.2605825174639
38.038476,33.664531,2.505,45.2141585136673,20.5993451043035,14.0631959608044,10.5516174485594,45.2141585136673
38.038476,39.539419,0.57238131,28.1905328139066,13.8436930392827,7.36807790601981,6.97876186860406,28.1905328139066
38.038476,39.539419,1.0645111,29.7578048095497,14.9846516855108,7.50400146680929,7.26915165722965,29.7578048095497
38.038476,39.539419,2.505,33.0339978788789,16.634308400284,8.55556022791878,7.84412925067615,33.0339978788789
38.038476,39.539419,3.9454889,35.1262054538118,18.1022240183059,8.85101324789903,8.17296818760687,35.1262054538118
38.038476,39.539419,4.4376187,35.3650729530468,18.1226154082567,8.98087985145918,8.26157769333094,35.3650729530468
38.038476,44.421268,1.0645111,25.2744479724928,11.234858156847,6.95887228351277,7.08071753213297,25.2744479724928
38.038476,44.421268,2.505,27.7778974186088,12.4669144650796,7.61278765751289,7.69819529601627,27.7778974186088
38.038476,44.421268,3.9454889,29.5009352657576,13.4187539579327,7.98822673758975,8.09395457023515,29.5009352657576
38.038476,46.563124,2.505,27.3251350024399,9.62648302216149,10.4382606046599,7.2603913756185,27.3251350024399
41.537762,25.25,2.505,51.6866234457266,21.485162594366,18.1432019328993,12.0582589184613,51.6866234457266
59.401706,10.960581,2.505,138.680050501765,55.5126947281142,46.6713081430491,36.496047630602,138.680050501765
59.401706,25.25,1.0645111,47.5620071736182,21.5367466945697,13.8681108198868,12.1571496591617,47.5620071736182
