"angle","gap","Re","hair1","hair2","hair3"
8.4438139,25.25,2.505,0.00492528441408275,0.0173003587361883,0.0142319555565533
12.497732,10.960581,2.505,0.00675691272342203,0.0166157369739574,0.00576830624331465
12.497732,25.25,1.0645111,0.00562421375334576,0.015200138630056,0.0104308363793903
12.497732,25.25,2.505,0.00684483026835058,0.0184972732027307,0.0128498353987821
12.497732,25.25,3.9454889,0.00756249945035307,0.0204500837854797,0.0142763216255217
12.497732,39.539419,2.505,0.00685476803108337,0.017858012473553,0.0147958020114748
20.2863,6.0787324,2.505,0.0101531075179756,0.0164527327347196,0.00367382259923789
20.2863,10.960581,1.0645111,0.00863921209065494,0.0150262619043815,0.00333286971891954
20.2863,10.960581,2.505,0.0104555672407765,0.0181551484856939,0.00419349207139048
20.2863,10.960581,3.9454889,0.0115462881430928,0.020064948210598,0.00470123125187003
20.2863,25.25,0.57238131,0.00761991302645056,0.0139750424548091,0.00760852502675962
20.2863,25.25,1.0645111,0.00880002919972803,0.0160075212690623,0.00885829628458231
20.2863,25.25,2.505,0.0106028937979284,0.0195140998248882,0.0109937853894292
20.2863,25.25,3.9454889,0.0116916478272503,0.0216220565686196,0.0122579736342392
20.2863,25.25,4.4376187,0.0119832371519371,0.0221789141597339,0.0125879042186622
20.2863,39.539419,1.0645111,0.00881665825811573,0.0147638782847489,0.0113109718097538
20.2863,39.539419,2.505,0.0106178009686549,0.018015241859139,0.0139653781156356
20.2863,39.539419,3.9454889,0.0117061761612954,0.0200219062563669,0.0155294206312261
20.2863,44.421268,2.505,0.0106198712477029,0.0176739973677552,0.0139664208237339
38.038476,3.9368763,2.505,0.0169982101213628,0.0216578025359893,0.0129560496121694
38.038476,6.0787324,1.0645111,0.014461029772161,0.0183853513839211,0.00871613385601536
38.038476,6.0787324,2.505,0.0176102454085341,0.0223417199539187,0.0106473628395698
38.038476,6.0787324,3.9454889,0.0194497103788681,0.0246976291689921,0.0118161773009015
38.038476,10.960581,0.57238131,0.0129749042627709,0.0162999048105517,0.00508646306920764
38.038476,10.960581,1.0645111,0.0150568253421348,0.0185684593392519,0.00589537316661029
38.038476,10.960581,2.505,0.0181461165657299,0.0224494855515077,0.00727394156076206
38.038476,10.960581,3.9454889,0.0199740205260236,0.0247503533334862,0.00811639055640729
38.038476,10.960581,4.4376187,0.0204608694141457,0.0253511197227108,0.00834186209338529
38.038476,16.835469,2.505,0.0183285482057841,0.0217847682756168,0.00590699429138034
38.038476,25.25,0.3564649,0.0116924440904305,0.0135293254138455,0.00494336613714412
38.038476,25.25,0.57238131,0.013294549024986,0.0149554372560899,0.0055138081597509
38.038476,25.25,1.0645111,0.0153405248709074,0.0172148411039147,0.00639013220474279
38.038476,25.25,1.6567473,0.0168662086073368,0.0191113073263528,0.00712475551755573
38.038476,25.25,2.505,0.0184051827290123,0.0210690470235516,0.00789745274896603
38.038476,25.25,3.3532527,0.0195608828233153,0.0225250373662085,0.00848620107933575
38.038476,25.25,3.9454889,0.0202276488028546,0.0233472955161535,0.00882577961128587
38.038476,25.25,4.4376187,0.0207151524270432,0.0239394471830916,0.00907439368977402
38.038476,25.25,4.6535351,0.0209127491206073,0.024177964432551,0.00917541807429001
38.038476,33.664531,2.505,0.0184282007926355,0.0199471335233962,0.0102574400157891
38.038476,39.539419,0.57238131,0.0133315545768251,0.0133104889991618,0.00798232011638391
38.038476,39.539419,1.0645111,0.0153737589015332,0.0153910398792492,0.00919609027628115
38.038476,39.539419,2.505,0.0184359044975809,0.0189334678161155,0.0112900525884117
38.038476,39.539419,3.9454889,0.0202580702357333,0.021026470883501,0.0125727836524593
38.038476,39.539419,4.4376187,0.02074571828024,0.0215735750706198,0.0129159875962432
38.038476,44.421268,1.0645111,0.0153782601798054,0.014381667522499,0.00973277340107517
38.038476,44.421268,2.505,0.0184399862125255,0.0176491200158601,0.0119979787639201
38.038476,44.421268,3.9454889,0.0202620809254772,0.0196307560186841,0.0133681247664424
38.038476,46.563124,2.505,0.0184410413357567,0.0167836163631784,0.0118955587500781
41.537762,25.25,2.505,0.0201945591503048,0.0216029225855495,0.00790393426363191
59.401706,10.960581,2.505,0.0255611194990267,0.0247841723710583,0.0155907439566143
59.401706,25.25,1.0645111,0.0215804175850397,0.0161483049732452,0.00805209721778224
59.401706,25.25,2.505,0.0259208975676798,0.0195849439618848,0.00995298836049148
59.401706,25.25,3.9454889,0.0284442562761557,0.0217103700661389,0.0110840279569662
59.401706,39.539419,2.505,0.02596596825143,0.0168790164148689,0.0106690096258785
90,2.8220488,2.505,0.0238636852705887,0.0245543207976934,0.0248669795641381
90,3.9368763,1.0645111,0.0203952034735263,0.0199452052139493,0.0214262293971741
90,3.9368763,2.505,0.0251452430020463,0.0243427606869748,0.0260583359769293
90,3.9368763,3.9454889,0.027943200027744,0.0269892075315151,0.0288707291378672
90,6.0787324,0.57238131,0.0184676050528477,0.0175610230052504,0.0185429806486649
90,6.0787324,1.0645111,0.0215898645393869,0.020181723166418,0.0211903141739551
90,6.0787324,2.505,0.0262484030326206,0.0246019337178262,0.0257304748396005
90,6.0787324,3.9454889,0.0290344917588738,0.02729151287164,0.0285276112555976
90,6.0787324,4.4376187,0.0297808707776013,0.028007575555046,0.0292773455837698
