output,angle,gap,ant,dist,re,diff_coef,stink_width,init_conc
raw_conc_total,0.0056,0.4752,0.0001,0.0001,0.0001,0.0004,0.0803,0.1152
total_conc,0.0057,0.4748,0.0001,0.0001,0.0001,0.0004,0.0805,0.1154
norm_conc,0.0002,0.9948,0.0001,0.0001,0.0000,0.0001,0.0001,0.0001
row_1,0.1593,0.5254,0.0001,0.0003,0.0001,0.0000,0.0000,0.0000
row_2,0.1531,0.6320,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001
row_3,0.0800,0.8131,0.0002,0.0001,0.0002,0.0005,0.0001,0.0000
row_4,0.0324,0.9405,0.0001,0.0001,0.0001,0.0004,0.0001,0.0000
row_5,0.0942,0.7071,0.0002,0.0001,0.0002,0.0000,0.0001,0.0003
