a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
53996,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0364529154106465,-0.000576144759434134,0.0734819755807271,0.0512274500007673,0.0882565101708478,0.0141983898306867,0.125285570340928,0.17708916510113,0.140060104931049,0.103031044760969,0.066001984590888,0.0289729244208074,0.228892759861331,0.191863699691251,0.15483463952117,0.117805579351089,0.0807765191810088,0.0437474590109282,0.280696354621533,0.243667294451452,0.206638234281371,0.169609174111291,0.13258011394121,0.0955510537711296,0.058521993601049
0,0.0351159155548626,0.0735548164574128,-0.00332298534768761,0.08640347279169,0.0479645718891398,0.12484237369424,0.0095256709865896,0.0223743273208668,0.060813228223417,0.0992521291259672,0.137691030028517,0.176129930931068,0.035222983655144,0.0736618845576942,0.112100785460244,0.150539686362795,0.188978587265345,0.227417488167895,0.0480716399894212,0.0865105408919715,0.124949441794522,0.163388342697072,0.201827243599622,0.240266144502172,0.278705045404723
