a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
13270,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0387573060275925,-0.040459315974248,-0.037055296080937,-0.0453680547778428,-0.0436660448311873,-0.0470700647244983,-0.0419640348845318,-0.0468727736881266,-0.0485747836347821,-0.0502767935814375,-0.051978803528093,-0.0536808134747485,-0.0517815124917213,-0.0534835224383768,-0.0551855323850323,-0.0568875423316878,-0.0585895522783433,-0.0602915622249988,-0.0566902512953161,-0.0583922612419716,-0.0600942711886271,-0.0617962811352826,-0.0634982910819381,-0.0652003010285935,-0.066902310975249
0,0.00991843481533971,0.00326765557520074,0.0165692140554787,0.00806702904656767,0.0147178082867066,0.0014162498064287,0.0213685875268456,0.0261679609982126,0.0195171817580736,0.0128664025179346,0.00621562327779563,-0.000435155962343343,0.0309673344695795,0.0243165552294405,0.0176657759893015,0.0110149967491626,0.00436421750902359,-0.00228656173111538,0.0357667079409464,0.0291159287008074,0.0224651494606685,0.0158143702205295,0.00916359098039052,0.00251281174025155,-0.00413796749988742
