a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
5386,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0170949626906922,-0.0675560053891022,0.101745930770487,0.0215594781217806,0.106210446201575,-0.0630914899580139,0.190861414281369,0.279976897792252,0.195325929712458,0.110674961632663,0.0260239935528689,-0.0586269745269255,0.369092381303135,0.284441413223341,0.199790445143546,0.115139477063752,0.0304885089839573,-0.0541624590958372,0.458207864814018,0.373556896734223,0.288905928654429,0.204254960574634,0.11960399249484,0.0349530244150456,-0.0496979436647488
0,0.0267841382404348,0.0808125758203467,-0.0272442993394771,0.127108245842438,0.0730798082625264,0.18113668342235,0.0190513706826145,0.0653470407047062,0.119375478284618,0.17340391586453,0.227432353444442,0.281460791024354,0.111642710726798,0.16567114830671,0.219699585886622,0.273728023466534,0.327756461046445,0.381784898626357,0.157938380748889,0.211966818328801,0.265995255908713,0.320023693488625,0.374052131068537,0.428080568648449,0.482109006228361
