a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
3652,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0135224377301479,-0.00159618491096856,0.0286410603712644,0.0129579676226233,0.0280765902637398,-0.00216065501849314,0.0431952129048563,0.0577493654384482,0.0426307427973317,0.0275121201562152,0.0123934975150988,-0.00272512512601772,0.0723035179720401,0.0571848953309236,0.0420662726898071,0.0269476500486907,0.0118290274075742,-0.0032895952335423,0.086857670505632,0.0717390478645155,0.056620425223399,0.0415018025822825,0.0263831799411661,0.0112645573000496,-0.00385406534106688
0,0.0253116227446511,0.0333885696592184,0.0172346758300837,0.0424432074793722,0.0343662605648048,0.0505201543939395,0.0262893136502375,0.0353439514703913,0.0434208983849586,0.051497845299526,0.0595747922140933,0.0676517391286606,0.0443985892905451,0.0524755362051124,0.0605524831196797,0.0686294300342471,0.0767063769488144,0.0847833238633818,0.0534532271106988,0.0615301740252662,0.0696071209398335,0.0776840678544009,0.0857610147689682,0.0938379616835356,0.101914908598103
