a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
46130,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0158136298759446,-0.0529626548737395,0.0845899146256287,0.00491548743929368,0.0736917721889778,-0.0638607973103905,0.142468056938662,0.200346199251695,0.131569914502011,0.0627936297523269,-0.00598265499735726,-0.0747589397470414,0.258224341564728,0.189448056815044,0.12067177206536,0.0518954873156759,-0.0168807974340082,-0.0856570821836923,0.316102483877762,0.247326199128077,0.178549914378393,0.109773629628709,0.040997344879025,-0.0277789398706591,-0.0965552246203432
0,0.040097555541361,0.0672214711165188,0.0129736399662031,0.113221523100079,0.0860976075249207,0.140345438675237,0.0589736919497629,0.104973743933323,0.132097659508481,0.159221575083638,0.186345490658796,0.213469406233954,0.150973795916882,0.17809771149204,0.205221627067198,0.232345542642356,0.259469458217514,0.286593373792672,0.196973847900442,0.2240977634756,0.251221679050758,0.278345594625916,0.305469510201074,0.332593425776232,0.359717341351389
