a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
45170,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.04565296838286,-0.0631939998355887,-0.0281119369301313,-0.076025419691189,-0.0584843882384603,-0.0935664511439177,-0.0409433567857316,-0.0537747766413319,-0.0713158080940606,-0.0888568395467893,-0.106397870999518,-0.123938902452247,-0.0666061964969322,-0.0841472279496609,-0.10168825940239,-0.119229290855118,-0.136770322307847,-0.154311353760576,-0.0794376163525325,-0.0969786478052612,-0.11451967925799,-0.132060710710719,-0.149601742163447,-0.167142773616176,-0.184683805068905
0,0.0321042192890153,0.00716045264248684,0.0570479859355438,0.034823314812396,0.0597670814589245,0.00987954816586751,0.0847108481054529,0.112373710275362,0.0874299436288336,0.0624861769823051,0.0375424103357767,0.0125986436892482,0.140036572445271,0.115092805798743,0.0901490391522143,0.0652052725056858,0.0402615058591573,0.0153177392126289,0.16769943461518,0.142755667968652,0.117811901322123,0.092868134675595,0.0679243680290665,0.042980601382538,0.0180368347360095
