a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
10321,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0203496603926965,-0.0700273801036273,0.0293280593182342,-0.101064614215789,-0.0513868945048587,-0.15074233392672,-0.00170917479392793,-0.0327464089060901,-0.0824241286170208,-0.132101848327952,-0.181779568038882,-0.231457287749813,-0.0637836430182522,-0.113461362729183,-0.163139082440114,-0.212816802151044,-0.262494521861975,-0.312172241572906,-0.0948208771304144,-0.144498596841345,-0.194176316552276,-0.243854036263207,-0.293531755974137,-0.343209475685068,-0.392887195395999
0,0.0156683553049556,-0.0488518004819935,0.0801885110919048,0.02643044468323,0.0909506004701791,-0.0380897111037191,0.155470756257128,0.230753001422352,0.166232845635403,0.101712689848454,0.0371925340615044,-0.0273276217254447,0.306035246587575,0.241515090800626,0.176994935013677,0.112474779226728,0.0479546234397788,-0.0165655323471703,0.381317491752799,0.31679733596585,0.252277180178901,0.187757024391952,0.123236868605002,0.0587167128180532,-0.00580344296889587
