a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
117,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.00429158016338386,-0.0929569682252765,0.0843738078985088,-0.0896744979642045,-0.00100910990231181,-0.178339886026097,0.0876562781595809,0.0909387484206529,0.00227336035876026,-0.0863920277031324,-0.175057415765025,-0.263722803826918,0.094221218681725,0.00555583061983231,-0.0831095574420604,-0.171774945503953,-0.260440333565846,-0.349105721627738,0.097503688942797,0.00883830088090435,-0.0798270871809883,-0.168492475242881,-0.257157863304774,-0.345823251366666,-0.434488639428559
0,0.00802761343727376,-0.0393731020503888,0.0554283289249363,0.0611137341914471,0.10851444967911,0.0137130187037845,0.155915165166772,0.256402001408608,0.209001285920945,0.161600570433283,0.11419985494562,0.0667991394579578,0.356888837650444,0.309488122162781,0.262087406675119,0.214686691187456,0.167285975699794,0.119885260212131,0.45737567389228,0.409974958404617,0.362574242916955,0.315173527429292,0.267772811941629,0.220372096453967,0.172971380966304
