a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
4111,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0275838259281415,-0.0435958055755926,-0.0115718462806904,-0.0938514063924418,-0.0778394267449908,-0.109863386039893,-0.0618274470975397,-0.112083047914389,-0.12809502756184,-0.144107007209291,-0.160118986856742,-0.176130966504193,-0.162338648731238,-0.178350628378689,-0.19436260802614,-0.210374587673591,-0.226386567321043,-0.242398546968494,-0.212594249548087,-0.228606229195538,-0.24461820884299,-0.260630188490441,-0.276642168137892,-0.292654147785343,-0.308666127432794
0,0.00656519797918476,-0.0607094921003185,0.073839888058688,-0.0132053659209948,0.0540693241585084,-0.0804800560004981,0.121344014238012,0.168848140417335,0.101573450337832,0.0342987602583289,-0.0329759298211744,-0.100250619900678,0.216352266596659,0.149077576517156,0.0818028864376525,0.0145281963581493,-0.052746493721354,-0.120021183800857,0.263856392775983,0.196581702696479,0.129307012616976,0.062032322537473,-0.00524236754203031,-0.0725170576215335,-0.139791747701037
