a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
5899,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0320467489038244,-0.0358760475405129,-0.0282174502671359,-0.0926494106798988,-0.0888201120432102,-0.0964787093165873,-0.0849908134065217,-0.141764176545908,-0.145593475182596,-0.149422773819285,-0.153252072455973,-0.157081371092662,-0.198537539685293,-0.202366838321982,-0.206196136958671,-0.210025435595359,-0.213854734232048,-0.217684032868736,-0.255310902824679,-0.259140201461368,-0.262969500098056,-0.266798798734745,-0.270628097371433,-0.274457396008122,-0.27828669464481
0,0.00181085820203307,-0.0659562213793161,0.0695779377833822,-0.0287564116905921,0.039010667890757,-0.0965234912719413,0.106777747472106,0.14397755716083,0.076210477579481,0.00844339799813181,-0.0593236815832174,-0.127090761164567,0.181177366849554,0.113410287268205,0.0456432076868558,-0.0221238718944934,-0.0898909514758426,-0.157658031057192,0.218377176538278,0.150610096956929,0.0828430173755797,0.0150759377942305,-0.0526911417871186,-0.120458221368468,-0.188225300949817
