a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
53185,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0328974595285558,-0.045738883188899,0.111533802246011,0.0489890155927581,0.127625358310213,-0.0296473271246968,0.206261701027668,0.300989599809325,0.22235325709187,0.143716914374415,0.0650805716569603,-0.0135557710604945,0.395717498590982,0.317081155873527,0.238444813156072,0.159808470438617,0.0811721277211626,0.00253578500370772,0.490445397372639,0.411809054655184,0.333172711937729,0.254536369220275,0.17590002650282,0.0972636837853648,0.01862734106791
0,0.0404324712159691,0.104414113302674,-0.0235491708707354,0.140524362713337,0.0765427206266322,0.204506004800041,0.0125610785399277,0.0486713279505908,0.112652970037295,0.176634612124,0.240616254210704,0.304597896297409,0.0847815773612539,0.148763219447958,0.212744861534663,0.276726503621367,0.340708145708072,0.404689787794776,0.120891826771917,0.184873468858621,0.248855110945326,0.31283675303203,0.376818395118735,0.440800037205439,0.504781679292144
