a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
45906,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0568082777110646,0.0370638439133233,0.0765527115088058,0.0963496956373108,0.116094129435052,0.0766052618395696,0.135838563232793,0.195124414956781,0.17537998115904,0.155635547361298,0.135891113563557,0.116146679765816,0.254410266680768,0.234665832883027,0.214921399085286,0.195176965287545,0.175432531489803,0.155688097692062,0.313696118404756,0.293951684607015,0.274207250809273,0.254462817011532,0.234718383213791,0.21497394941605,0.195229515618308
0,0.0196580365043728,0.076715987240211,-0.0373999142314653,0.0652861931244759,0.00822824238863774,0.122344143860314,-0.0488297083472004,-0.0602595024629355,-0.00320155172709737,0.0538563990087408,0.110914349744579,0.167972300480417,-0.0716892965786707,-0.0146313458428325,0.0424266048930057,0.0994845556288439,0.156542506364682,0.21360045710052,-0.0831190906944058,-0.0260611399585676,0.0309968107772706,0.0880547615131088,0.145112712248947,0.202170662984785,0.259228613720623
