a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
13319,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0221248565055878,-0.105724952874203,0.0614752398630273,-0.10950982038411,-0.0259097240154954,-0.193109916752726,0.0576903723531198,0.0539055048432122,-0.0296945915254029,-0.113294687894018,-0.196894784262633,-0.280494880631248,0.0501206373333047,-0.0334794590353104,-0.117079555403926,-0.200679651772541,-0.284279748141156,-0.367879844509771,0.0463357698233972,-0.037264326545218,-0.120864422913833,-0.204464519282448,-0.288064615651063,-0.371664712019679,-0.455264808388294
0,0.0351395921490387,-0.0174973345450442,0.0877765188431217,0.0812209360160452,0.133857862710128,0.0285840093219622,0.186494789404211,0.2852130599653,0.232576133271218,0.179939206577135,0.127302279883052,0.0746653531889687,0.38393133052639,0.331294403832307,0.278657477138224,0.226020550444141,0.173383623750058,0.120746697055975,0.482649601087479,0.430012674393396,0.377375747699313,0.32473882100523,0.272101894311147,0.219464967617065,0.166828040922982
