a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
23593,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0140697538024617,-0.0537052530259627,0.0255657454210392,-0.045087444247187,-0.00545194502368606,-0.0847229434706879,0.0341835541998149,0.0428013629785905,0.00316586375508963,-0.0364696354684113,-0.0761051346919122,-0.115740633915413,0.0514191717573662,0.0117836725338653,-0.0278518266896356,-0.0674873259131365,-0.107122825136637,-0.146758324360138,0.0600369805361419,0.020401481312641,-0.01923401791086,-0.0588695171343609,-0.0985050163578618,-0.138140515581363,-0.177776014804864
0,0.0431206932161816,0.0301881155065299,0.0560532709258333,0.0709797535805859,0.0839123312902377,0.0580471758709342,0.0968449089998894,0.137636547073945,0.124703969364294,0.111771391654642,0.0988388139449903,0.0859062362353385,0.178428185148002,0.16549560743835,0.152563029728698,0.139630452019046,0.126697874309395,0.113765296599743,0.219219823222058,0.206287245512406,0.193354667802754,0.180422090093102,0.167489512383451,0.154556934673799,0.141624356964147
