a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
49703,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.037848199823991,-0.101604681708677,0.0259082820606953,-0.112505282280361,-0.0487488003956746,-0.176261764165047,0.0150076814890116,0.00410708091732799,-0.0596494009673583,-0.123405882852045,-0.187162364736731,-0.250918846621417,-0.00679351965435567,-0.0705500015390419,-0.134306483423728,-0.198062965308414,-0.261819447193101,-0.325575929077787,-0.0176941202260393,-0.0814506021107256,-0.145207083995412,-0.208963565880098,-0.272720047764784,-0.336476529649471,-0.400233011534157
0,0.048850744261465,-0.000546007066022446,0.0982474955889523,0.079367101565782,0.128763852893269,0.0299703502382945,0.178160604220757,0.258073712852561,0.208676961525074,0.159280210197586,0.109883458870099,0.0604867075426115,0.337986821484365,0.288590070156878,0.239193318829391,0.189796567501903,0.140399816174416,0.0910030648469285,0.41789993011617,0.368503178788682,0.319106427461195,0.269709676133708,0.22031292480622,0.170916173478733,0.121519422151246
