a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
34290,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0371545030887695,0.0330231944953352,0.0412858116822037,0.0436477508176977,0.047779059411132,0.0395164422242635,0.0519103680045663,0.0625349243269289,0.0584036157334946,0.0542723071400603,0.050140998546626,0.0460096899531917,0.0731594806492915,0.0690281720558572,0.0648968634624229,0.0607655548689886,0.0566342462755543,0.05250293768212,0.083784036971654,0.0796527283782197,0.0755214197847854,0.0713901111913512,0.0672588025979169,0.0631274940044826,0.0589961854110483
0,0.0155314381093103,0.0254144068862583,0.00564846933236222,0.0240507406905713,0.0141677719136233,0.0339337094675194,0.00428480313667525,0.00292113694098828,0.0128041057179363,0.0226870744948844,0.0325700432718324,0.0424530120487804,0.00155747074530131,0.0114404395222493,0.0213234082991974,0.0312063770761454,0.0410893458530935,0.0509723146300415,0.000193804549614347,0.0100767733265624,0.0199597421035104,0.0298427108804585,0.0397256796574065,0.0496086484343545,0.0594916172113026
