a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
7495,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0178020304901108,-0.0362938157209199,0.000689754740698202,-0.0978037513235177,-0.0793119660927087,-0.116295536554327,-0.0608201808618996,-0.122330116464497,-0.140821901695306,-0.159313686926115,-0.177805472156925,-0.196297257387734,-0.183840052067095,-0.202331837297904,-0.220823622528713,-0.239315407759522,-0.257807192990331,-0.27629897822114,-0.245349987669693,-0.263841772900502,-0.282333558131311,-0.30082534336212,-0.319317128592929,-0.337808913823738,-0.356300699054547
0,0.004029181155793,-0.0776726117810041,0.0857309740925901,-0.020807359541399,0.0608944333953981,-0.102509152478196,0.142596226332195,0.1994614785718,0.117759685635003,0.0360578926982061,-0.045643900238591,-0.127345693175388,0.256326730811405,0.174624937874608,0.0929231449378111,0.011221352001014,-0.0704804409357831,-0.15218223387258,0.31319198305101,0.231490190114213,0.149788397177416,0.0680866042406191,-0.013615188696178,-0.0953169816329751,-0.177018774569772
