a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
39717,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0193809044548377,-0.0644770326381203,0.103238841547796,0.00363560351093684,0.0874935406038948,-0.0802223335820211,0.171351477696853,0.23946411384591,0.155606176752952,0.0717482396599939,-0.012109697432964,-0.095967634525922,0.307576749994967,0.223718812902009,0.139860875809051,0.0560029387160931,-0.0278549983768649,-0.111712935469823,0.375689386144024,0.291831449051066,0.207973511958108,0.12411557486515,0.0402576377721922,-0.0436002993207657,-0.127458236413724
0,0.0537549383048491,0.0839892333822894,0.0235206432274088,0.141495189675028,0.111260894597588,0.171729484752469,0.0810265995201476,0.138532555812886,0.168766850890327,0.199001145967767,0.229235441045207,0.259469736122648,0.196038512105625,0.226272807183066,0.256507102260506,0.286741397337946,0.316975692415387,0.347209987492827,0.253544468398364,0.283778763475804,0.314013058553245,0.344247353630685,0.374481648708125,0.404715943785566,0.434950238863006
