a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
57047,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0497456455277065,0.0495949920226629,0.0498962990327501,0.0969168629438104,0.097067516448854,0.0967662094387669,0.0972181699538976,0.144540040875045,0.144389387370002,0.144238733864958,0.144088080359914,0.143937426854871,0.191861911796193,0.191711258291149,0.191560604786106,0.191409951281062,0.191259297776018,0.191108644270975,0.23918378271734,0.239033129212297,0.238882475707253,0.23873182220221,0.238581168697166,0.238430515192122,0.238279861687079
0,0.000137370947938143,0.0546929809360094,-0.0544182390401331,0.0275456457045107,-0.0270099642835606,0.082101255692582,-0.0815655742716319,-0.108712909503131,-0.0541572995150593,0.000398310473011972,0.0549539204610832,0.109509530449155,-0.135860244734629,-0.081304634746558,-0.0267490247584868,0.0278065852295845,0.0823621952176558,0.136917805205727,-0.163007579966128,-0.108451969978057,-0.0538963599899855,0.000659249998085802,0.0552148599861571,0.109770469974228,0.1643260799623
