a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
1808,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.013062364220115,-0.0656057714691714,0.0394810430289414,-0.11339466638086,-0.0608512591318034,-0.165938073629916,-0.00830785188274697,-0.0560967467944354,-0.108640154043492,-0.161183561292548,-0.213726968541605,-0.266270375790661,-0.103885641706124,-0.15642904895518,-0.208972456204237,-0.261515863453293,-0.314059270702349,-0.366602677951406,-0.151674536617812,-0.204217943866869,-0.256761351115925,-0.309304758364981,-0.361848165614038,-0.414391572863094,-0.46693498011215
0,0.00802570948386237,-0.0774921035185965,0.0935435224863213,0.0107707284617072,0.0962885414641661,-0.0747470845407517,0.181806354466625,0.270069186446929,0.18455137344447,0.0990335604420109,0.013515747439552,-0.0720020655629068,0.358332018427232,0.272814205424773,0.187296392422315,0.101778579419856,0.0162607664173968,-0.069257046585062,0.446594850407536,0.361077037405077,0.275559224402618,0.190041411400159,0.104523598397701,0.0190057853952417,-0.0665120276072172
