a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
412,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.00666872938689148,0.00529056140142468,0.00804689737235828,0.0125176591066707,0.0138958270921375,0.0111394911212039,0.0152739950776043,0.0225010927828504,0.0211229247973836,0.0197447568119168,0.01836658882645,0.0169884208409832,0.0297281904880964,0.0283500225026296,0.0269718545171628,0.025593686531696,0.0242155185462292,0.0228373505607624,0.0369552881933424,0.0355771202078756,0.0341989522224088,0.032820784236942,0.0314426162514752,0.0300644482660084,0.0286862802805416
0,0.00121739091401601,0.00876683886778528,-0.00633205703975326,0.00618564337699732,-0.00136380457677195,0.0137350913307666,-0.00891325253054122,-0.0114944480213292,-0.00394500006755991,0.00360444788620936,0.0111538958399786,0.0187033437937479,-0.0140756435121171,-0.00652619555834788,0.00102325239542139,0.00857270034919066,0.0161221483029599,0.0236715962567292,-0.0166568390029051,-0.00910739104913584,-0.00155794309536657,0.0059915048584027,0.013540952812172,0.0210904007659412,0.0286398487197105
