a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
64962,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0545832913336825,0.0124353860414113,0.0967311966259537,0.0968044054539306,0.138952310746202,0.0546565001616594,0.181100216038473,0.265469235450992,0.223321330158721,0.18117342486645,0.139025519574179,0.0968776142819076,0.349838254863512,0.307690349571241,0.265542444278969,0.223394538986698,0.181246633694427,0.139098728402156,0.434207274276031,0.39205936898376,0.349911463691489,0.307763558399218,0.265615653106946,0.223467747814675,0.181319842522404
0,0.0314772283516778,0.104564076023572,-0.0416096193202162,0.104521808887032,0.0314349612151382,0.177608656558926,-0.0416518864567558,-0.0416941535932953,0.0313926940785987,0.104479541750493,0.177566389422387,0.250653237094281,-0.0417364207298349,0.0313504269420591,0.104437274613953,0.177524122285847,0.250610969957741,0.323697817629635,-0.0417786878663744,0.0313081598055196,0.104395007477414,0.177481855149308,0.250568702821202,0.323655550493096,0.39674239816499
