a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
9710,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0241066229924148,-0.0263067610755212,-0.0219064849093084,-0.0479163118359074,-0.045716173752801,-0.0501164499190137,-0.0435160356696946,-0.0651255864300808,-0.0673257245131871,-0.0695258625962935,-0.0717260006793999,-0.0739261387625063,-0.0867351371904669,-0.0889352752735733,-0.0911354133566797,-0.0933355514397861,-0.0955356895228924,-0.0977358276059988,-0.108344687950853,-0.110544826033959,-0.112744964117066,-0.114945102200172,-0.117145240283279,-0.119345378366385,-0.121545516449491
0,0.00202258639987642,-0.0242002238118111,0.0282453966115639,-0.00918344323416359,0.0170393669775239,-0.0354062534458511,0.0432621771892114,0.0582789577668588,0.0320561475551713,0.00583333734348387,-0.0203894728682036,-0.0466122830798911,0.0732957383445063,0.0470729281328188,0.0208501179211313,-0.00537269229055615,-0.0315955025022436,-0.0578183127139311,0.0883125189221537,0.0620897087104663,0.0358668984987788,0.00964408828709131,-0.0165787219245962,-0.0428015321362836,-0.0690243423479711
