a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
27240,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.021669563770959,-0.0903080058729117,0.0469688783309936,-0.104914231515877,-0.0362757894139246,-0.17355267361783,0.032362652688028,0.0177564270450624,-0.0508820150568902,-0.119520457158843,-0.188158899260795,-0.256797341362748,0.00315020140209681,-0.0654882406998558,-0.134126682801808,-0.202765124903761,-0.271403567005714,-0.340042009107666,-0.0114560242408688,-0.0800944663428214,-0.148732908444774,-0.217371350546727,-0.286009792648679,-0.354648234750632,-0.423286676852584
0,0.0263277301862944,-0.0301665094516457,0.0828219698242344,0.0575232449038027,0.114017484541743,0.00102900526586259,0.170511724179683,0.258201478535131,0.201707238897191,0.145212999259251,0.088718759621311,0.0322245199833709,0.34589123289058,0.289396993252639,0.232902753614699,0.176408513976759,0.119914274338819,0.0634200347008792,0.433580987246028,0.377086747608088,0.320592507970148,0.264098268332208,0.207604028694268,0.151109789056328,0.0946155494183875
