a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
41943,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0372288390493341,-0.0482295515209651,-0.0262281265777032,-0.0544689505582474,-0.0434682380866164,-0.0654696630298784,-0.0324675256149854,-0.0387069246522677,-0.0497076371238987,-0.0607083495955297,-0.0717090620671606,-0.0827097745387916,-0.04494632368955,-0.055947036161181,-0.066947748632812,-0.0779484611044429,-0.0889491735760739,-0.0999498860477049,-0.0511857227268323,-0.0621864351984632,-0.0731871476700942,-0.0841878601417252,-0.0951885726133562,-0.106189285084987,-0.117189997556618
0,0.0302114726162777,0.0166555708819911,0.0437673743505644,0.0329604182092951,0.0465163199435818,0.0194045164750085,0.0600722216778684,0.0763770690051725,0.0628211672708858,0.0492652655365992,0.0357093638023125,0.0221534620680259,0.0926819163324765,0.0791260145981899,0.0655701128639032,0.0520142111296166,0.0384583093953299,0.0249024076610433,0.108986763659781,0.0954308619254939,0.0818749601912073,0.0683190584569206,0.054763156722634,0.0412072549883473,0.0276513532540607
