a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
3400,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0174058626894724,-0.048256920598127,0.0134451952191822,-0.101796270038204,-0.0709452121295496,-0.132647327946859,-0.040094154220895,-0.0936335036609722,-0.124484561569627,-0.155335619478281,-0.186186677386936,-0.217037735295591,-0.147172853101049,-0.178023911009704,-0.208874968918358,-0.239726026827013,-0.270577084735668,-0.301428142644322,-0.200712202541127,-0.231563260449781,-0.262414318358436,-0.29326537626709,-0.324116434175745,-0.354967492084399,-0.385818549993054
0,0.00674323462821726,-0.0728905475830612,0.0863770168394957,-0.00635585659490226,0.0732779256163762,-0.0859896388061807,0.152911707827655,0.219446398815813,0.139812616604535,0.0601788343932566,-0.0194549478180218,-0.0990887300293002,0.285981089803972,0.206347307592694,0.126713525381416,0.0470797431701371,-0.0325540390411413,-0.11218782125242,0.352515780792131,0.272881998580853,0.193248216369574,0.113614434158296,0.0339806519470176,-0.0456531302642608,-0.125286912475539
