a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
33672,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.042679786838937,0.0247456780801234,0.0606138955977507,0.0893810519261174,0.107315160684931,0.0714469431673037,0.125249269443745,0.189884643289739,0.171950534530925,0.154016425772111,0.136082317013298,0.118148208254484,0.254520017135733,0.236585908376919,0.218651799618105,0.200717690859292,0.182783582100478,0.164849473341664,0.319155390981727,0.301221282222913,0.283287173464099,0.265353064705286,0.247418955946472,0.229484847187658,0.211550738428845
0,0.0119076088907765,0.0761878473495128,-0.0523726295679599,0.0595791218995103,-0.00470111655922604,0.123859360358247,-0.0689813550179624,-0.0855900804679649,-0.0213098420092286,0.0429703964495078,0.107250634908244,0.17153087336698,-0.102198805917967,-0.0379185674592311,0.0263616709995053,0.0906419094582416,0.154922147916978,0.219202386375714,-0.11880753136797,-0.0545272929092336,0.00975294554950275,0.0740331840082391,0.138313422466975,0.202593660925712,0.266873899384448
