a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
63171,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0332512432557928,-0.0850882298299272,0.0185857433183416,-0.0940173259973724,-0.042180339423238,-0.145854312571507,0.0096566471508964,0.00072755098345122,-0.0511094355906832,-0.102946422164818,-0.154783408738952,-0.206620395313086,-0.00820154518399396,-0.0600385317581283,-0.111875518332263,-0.163712504906397,-0.215549491480531,-0.267386478054666,-0.0171306413514391,-0.0689676279255735,-0.120804614499708,-0.172641601073842,-0.224478587647977,-0.276315574222111,-0.328152560796245
0,0.0428356661435447,0.00259713583920012,0.0830741964478892,0.0676085482202057,0.10784707852455,0.0273700179158611,0.148085608828895,0.2130970212099,0.172858490905556,0.132619960601211,0.0923814302968667,0.0521428999925221,0.278108433590906,0.237869903286561,0.197631372982217,0.157392842677872,0.117154312373528,0.0769157820691831,0.343119845971911,0.302881315667567,0.262642785363222,0.222404255058878,0.182165724754533,0.141927194450189,0.101688664145844
