a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
5897,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.00486512310915158,-0.0752137027262548,0.0654834565079517,-0.0552290252469293,0.0151195543701739,-0.125577604864033,0.0854681339872772,0.105452811466603,0.0351042318494995,-0.0352443477676038,-0.105592927384707,-0.17594150700181,0.125437488945928,0.055088909328825,-0.0152596702882783,-0.0856082499053815,-0.155956829522485,-0.226305409139588,0.145422166425254,0.0750735868081505,0.00472500719104726,-0.065623572426056,-0.135972152043159,-0.206320731660262,-0.276669311277366
0,0.0195134072861092,0.0019739537517797,0.0370528608204387,0.071667337587508,0.0892067911218375,0.0541278840531785,0.106746244656167,0.176439628491895,0.158900174957566,0.141360721423236,0.123821267888907,0.106281814354577,0.246133012327624,0.228593558793294,0.211054105258965,0.193514651724635,0.175975198190306,0.158435744655976,0.315826396163352,0.298286942629022,0.280747489094693,0.263208035560363,0.245668582026034,0.228129128491704,0.210589674957375
