a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
48954,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0577670678202771,0.0496579574068851,0.0658761782336691,0.129645607607426,0.137754718020818,0.121536497194034,0.14586382843421,0.225851478634751,0.217742368221359,0.209633257807967,0.201524147394575,0.193415036981183,0.305839128835292,0.2977300184219,0.289620908008508,0.281511797595116,0.273402687181724,0.265293576768332,0.385826779035833,0.377717668622441,0.369608558209049,0.361499447795657,0.353390337382265,0.345281226968873,0.337172116555481
0,0.00534260501563659,0.0930225906858321,-0.082337380654559,0.0562052934708248,-0.0314746921993708,0.14388527914102,-0.119154677869566,-0.155971975084574,-0.0682919894143782,0.0193879962558174,0.107067981926013,0.194747967596208,-0.192789272299581,-0.105109286629386,-0.01742930095919,0.0702506847110056,0.157930670381201,0.245610656051397,-0.229606569514588,-0.141926583844393,-0.0542465981741973,0.0334333874959982,0.121113373166194,0.208793358836389,0.296473344506585
