a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
25089,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0402618773998902,0.0162219061992221,0.0643018486005582,0.0569431108997924,0.0809830821004605,0.0329031396991244,0.105023053301129,0.145744258001699,0.121704286801031,0.0976643156003628,0.0736243443996948,0.0495843731990267,0.186465462702269,0.162425491501601,0.138385520300933,0.114345549100265,0.090305577899597,0.066265606698929,0.22718666740284,0.203146696202172,0.179106725001504,0.155066753800835,0.131026782600167,0.106986811399499,0.0829468401988313
0,0.0292050700851736,0.0623463832323574,-0.00393624306201011,0.0665949524247904,0.0334536392776066,0.0997362655719741,0.000312326130422863,0.00456089532285583,0.0377022084700396,0.0708435216172233,0.103984834764407,0.137126147911591,0.0088094645152888,0.0419507776624726,0.0750920908096563,0.10823340395684,0.141374717104024,0.174516030251208,0.0130580337077218,0.0461993468549055,0.0793406600020893,0.112481973149273,0.145623286296457,0.17876459944364,0.211905912590824
