a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
18890,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0342222304735352,-0.0157910631465972,0.0842355240936677,0.0582604431790291,0.108273736799162,0.00824714955889658,0.158287030419294,0.23233853674492,0.182325243124788,0.132311949504655,0.0822986558845229,0.0322853622643904,0.306390043070547,0.256376749450414,0.206363455830282,0.156350162210149,0.106336868590017,0.0563235749698843,0.380441549396173,0.33042825577604,0.280414962155908,0.230401668535776,0.180388374915643,0.130375081295511,0.0803617876753781
0,0.0302225360647379,0.0868546617520898,-0.0264095896226141,0.101851381710379,0.0452192560230268,0.158483507397731,-0.0114128696643252,0.00358385029396378,0.0602159759813158,0.116848101668668,0.17348022735602,0.230112353043372,0.0185805702522527,0.0752126959396047,0.131844821626957,0.188476947314309,0.245109073001661,0.301741198689013,0.0335772902105417,0.0902094158978936,0.146841541585246,0.203473667272598,0.26010579295995,0.316737918647302,0.373370044334654
