a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
16859,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.00415440465618093,-0.0526679096504071,0.060976718962769,-0.0186362576453754,0.0381860566612127,-0.0754585719519634,0.0950083709678008,0.129040022972833,0.0722177086662445,0.0153953943596564,-0.0414269199469317,-0.0982492342535197,0.163071674977864,0.106249360671276,0.0494270463646882,-0.00739526794189989,-0.064217582248488,-0.121039896555076,0.197103326982896,0.140281012676308,0.08345869836972,0.0266363840631319,-0.0301859302434562,-0.0870082445500443,-0.143830558856632
0,0.036373391051555,0.0428633794828144,0.0298834026202956,0.088827952958514,0.0823379645272546,0.0953179413897733,0.0758479760959952,0.121812549571695,0.128302538002954,0.134792526434213,0.141282514865473,0.147772503296732,0.167777123047394,0.174267111478654,0.180757099909913,0.187247088341172,0.193737076772432,0.200227065203691,0.213741696523094,0.220231684954353,0.226721673385613,0.233211661816872,0.239701650248131,0.246191638679391,0.25268162711065
