a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
24458,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0203730043938336,-0.0382866361395572,0.0790326449272245,0.0204719932165892,0.07913163374998,-0.0381876473168016,0.137791274283371,0.196549903639517,0.137890263106126,0.0792306225727356,0.0205709820393448,-0.0380886584940461,0.255308532995664,0.196648892462273,0.137989251928882,0.0793296113954912,0.0206699708621003,-0.0379896696712905,0.31406716235181,0.255407521818419,0.196747881285028,0.138088240751638,0.0794286002182467,0.0207689596848559,-0.0378906808485349
0,0.0351683846003258,0.0691498462997751,0.00118692290087658,0.10295985432883,0.068978392629381,0.13694131602828,0.0349969309299318,0.068806938958987,0.102788400658436,0.136769862357885,0.170751324057335,0.204732785756784,0.102616946988042,0.136598408687491,0.170579870386941,0.20456133208639,0.238542793785839,0.272524255485288,0.136426955017097,0.170408416716547,0.204389878415996,0.238371340115445,0.272352801814894,0.306334263514344,0.340315725213793
