a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
22532,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0291410862526007,-0.035135814781643,-0.0231463577235584,-0.0430610178881901,-0.0370662893591478,-0.0490557464172324,-0.0310715608301055,-0.0389967639366526,-0.0449914924656949,-0.0509862209947372,-0.0569809495237795,-0.0629756780528218,-0.0469219670431996,-0.052916695572242,-0.0589114241012842,-0.0649061526303266,-0.0709008811593689,-0.0768956096884111,-0.0548471701497467,-0.060841898678789,-0.0668366272078313,-0.0728313557368736,-0.0788260842659159,-0.0848208127949582,-0.0908155413240005
0,0.0138510008769948,0.00123870645313868,0.0264632953008509,0.0127364408600087,0.0253487352838648,0.000124146436152568,0.0379610297077209,0.049458764114591,0.0368464696907348,0.0242341752668787,0.0116218808430226,-0.00099041358083354,0.060956498521461,0.0483442040976049,0.0357319096737487,0.0231196152498926,0.0105073208260365,-0.00210497359781965,0.072454232928331,0.0598419385044749,0.0472296440806187,0.0346173496567626,0.0220050552329065,0.00939276080905037,-0.00321953361480576
