a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
331,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.00366649908750056,-0.0250276688501557,0.0176946706751545,-0.0172311390211249,0.00413003074153014,-0.03859230878378,0.0254912005041852,0.0332877303332159,0.0119265605705609,-0.00943460919209424,-0.0307957789547493,-0.0521569487174044,0.0410842601622466,0.0197230903995916,-0.00163807936306354,-0.0229992491257186,-0.0443604188883737,-0.0657215886510288,0.0488807899912773,0.0275196202286223,0.00615845046596716,-0.0152027192966879,-0.036563889059343,-0.0579250588219981,-0.0792862285846532
0,0.0235181793654726,0.0201879594438701,0.0268483992870752,0.0403523850736827,0.0436826049952852,0.0370221651520801,0.0470128249168878,0.0671772505467004,0.0638470306250978,0.0605168107034953,0.0571865907818927,0.0538563708602901,0.087341676176513,0.0840114562549104,0.0806812363333079,0.0773510164117053,0.0740207964901027,0.0706905765685002,0.107506101806326,0.104175881884723,0.10084566196312,0.0975154420415179,0.0941852221199153,0.0908550021983128,0.0875247822767102
