a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
19116,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0302893383481844,-0.0640213644433628,0.003442687746994,-0.0748685163231535,-0.0411364902279751,-0.108600542418332,-0.00740446413279671,-0.0182516160125874,-0.0519836421077658,-0.0857156682029442,-0.119447694298123,-0.153179720393301,-0.0290987678923781,-0.0628307939875565,-0.0965628200827349,-0.130294846177913,-0.164026872273092,-0.19775889836827,-0.0399459197721689,-0.0736779458673473,-0.107409971962526,-0.141141998057704,-0.174874024152882,-0.208606050248061,-0.242338076343239
0,0.0319283679344847,-7.20385273538585e-05,0.0639287743963233,0.0451409562231095,0.0771413626849481,0.013140549761271,0.109141769146787,0.15435476389725,0.122354357435411,0.0903539509735729,0.0583535445117343,0.0263531380498958,0.199567758647713,0.167567352185875,0.135566945724036,0.103566539262198,0.0715661328003592,0.0395657263385206,0.244780753398177,0.212780346936338,0.1807799404745,0.148779534012661,0.116779127550823,0.084778721088984,0.0527783146271454
