a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
45578,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0169032446766291,-0.0628848469583771,0.0290783576051189,-0.0529726022330038,-0.00699099995125579,-0.0989542045147518,0.0389906023304922,0.0489028470558655,0.00292124477411756,-0.0430603575076304,-0.0890419597893784,-0.135023562071126,0.0588150917812389,0.0128334894994909,-0.0331481127822571,-0.0791297150640051,-0.125111317345753,-0.171092919627501,0.0687273365066122,0.0227457342248642,-0.0232358680568838,-0.0692174703386317,-0.11519907262038,-0.161180674902128,-0.207162277183876
0,0.0514665433008136,0.0363647271666116,0.0665683594350157,0.0837368709164189,0.0988386870506209,0.0686350547822169,0.113940503184823,0.16131264693463,0.146210830800428,0.131109014666226,0.116007198532024,0.100905382397822,0.208684790684437,0.193582974550235,0.178481158416033,0.163379342281831,0.148277526147629,0.133175710013427,0.256056934434245,0.240955118300043,0.225853302165841,0.210751486031639,0.195649669897437,0.180547853763235,0.165446037629033
