a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
23753,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.024633643859809,0.000661126950566367,0.0486061607690517,0.0343418059059923,0.058314322815235,0.0103692889967497,0.0822868397244776,0.115967518679904,0.0919950017706609,0.0680224848614183,0.0440499679521756,0.0200774510429329,0.149648197635329,0.125675680726087,0.101703163816844,0.0777306469076015,0.0537581299983589,0.0297856130891162,0.183328876590755,0.159356359681513,0.13538384277227,0.111411325863027,0.0874388089537848,0.0634662920445422,0.0394937751352995
0,0.0235735435368411,0.048624102568946,-0.00147701549526389,0.0568596316889497,0.0318090726568447,0.0819101907210547,0.00675851362473979,0.0149940427447435,0.0400446017768484,0.0650951608089534,0.0901457198410583,0.115196278873163,0.0232295718647471,0.0482801308968521,0.073330689928957,0.098381248961062,0.123431807993167,0.148482367025272,0.0314651009847508,0.0565156600168558,0.0815662190489607,0.106616778081066,0.131667337113171,0.156717896145276,0.181768455177381
