a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
40879,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.000723246040717117,-0.0699555056274804,0.0714019977089146,-0.0337874923407259,0.0368912593274716,-0.104466244008923,0.107570010995669,0.143738024282424,0.0730592726142261,0.00238052094602863,-0.0682982307221688,-0.138976982390366,0.179906037569178,0.109227285900981,0.0385485342327831,-0.0321302174354143,-0.102808969103612,-0.173487720771809,0.216074050855933,0.145395299187735,0.0747165475195376,0.00403779585134015,-0.0666409558168573,-0.137319707485055,-0.207998459153252
0,0.0534245666783928,0.0543813947910956,0.0524677385656899,0.115112575187175,0.114155747074472,0.116069403299878,0.113198918961769,0.173930099357849,0.174886927470551,0.175843755583254,0.176800583695957,0.17775741180866,0.234661279753928,0.235618107866631,0.236574935979334,0.237531764092037,0.238488592204739,0.239445420317442,0.295392460150007,0.29634928826271,0.297306116375413,0.298262944488116,0.299219772600819,0.300176600713522,0.301133428826224
