a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
14788,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0407228236667059,0.0260921467920352,0.0553535005413766,0.0944040853812514,0.109034762255922,0.0797734085065807,0.123665439130593,0.191977377719809,0.177346700845138,0.162716023970468,0.148085347095797,0.133454670221126,0.260289316309025,0.245658639434354,0.231027962559684,0.216397285685013,0.201766608810342,0.187135931935672,0.328601254898241,0.313970578023571,0.2993399011489,0.284709224274229,0.270078547399559,0.255447870524888,0.240817193650217
0,0.00845916128542763,0.0788919683201084,-0.0619736457492532,0.0563461026507943,-0.0140867043838864,0.126778909685475,-0.0845195114185672,-0.107065377087881,-0.0366325700532005,0.0338002369814803,0.104233044016161,0.174665851050842,-0.129611242757195,-0.0591784357225145,0.0112543713121663,0.081687178346847,0.152119985381528,0.222552792416209,-0.152157108426509,-0.0817243013918285,-0.0112914943571478,0.059141312677533,0.129574119712214,0.200006926746895,0.270439733781575
