a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
17099,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0321261139235445,-0.0372690872313638,-0.0269831406157252,-0.0860786199804121,-0.0809356466725927,-0.0912215932882314,-0.0757926733647734,-0.124602206113822,-0.129745179421641,-0.13488815272946,-0.14003112603728,-0.145174099345099,-0.17341173886287,-0.178554712170689,-0.183697685478509,-0.188840658786328,-0.193983632094147,-0.199126605401967,-0.222221271611918,-0.227364244919738,-0.232507218227557,-0.237650191535376,-0.242793164843195,-0.247936138151015,-0.253079111458834
0,0.00278484084876532,-0.0565448499183049,0.0621145316158356,-0.022426058999213,0.0369036317678573,-0.0817557497662832,0.0962333225349275,0.13035211345402,0.0710224226869492,0.011692731919879,-0.0476369588471913,-0.106966649614262,0.164470904373111,0.105141213606041,0.0458115228389709,-0.0135181679280993,-0.0728478586951696,-0.13217754946224,0.198589695292203,0.139260004525133,0.0799303137580628,0.0206006229909926,-0.0387290677760777,-0.0980587585431479,-0.157388449310218
