a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
33750,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0252330365590134,0.00988358380263726,0.0405824893153896,0.024670912549435,0.0400203653058112,0.00932145979305887,0.0553698180621873,0.0701571468089851,0.054807694052609,0.0394582412962328,0.0241087885398566,0.00875933578348047,0.0849444755557829,0.0695950227994067,0.0542455700430305,0.0388961172866544,0.0235466645302782,0.00819721177390208,0.0997318043025806,0.0843823515462045,0.0690328987898283,0.0536834460334521,0.038333993277076,0.0229845405206998,0.00763508776432368
0,0.0471589921465454,0.0553719179308565,0.0389460663622342,0.0645584710599118,0.0563455452756006,0.0727713968442229,0.0481326194912895,0.0573191726203448,0.0655320984046559,0.073745024188967,0.0819579499732782,0.0901708757575893,0.0665057257494,0.0747186515337112,0.0829315773180223,0.0911445031023334,0.0993574288866446,0.107570354670956,0.0756922788784553,0.0839052046627664,0.0921181304470775,0.100331056231389,0.1085439820157,0.116756907800011,0.124969833584322
