a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
54466,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0568733242709094,-0.0680796630204086,-0.0456669855214102,-0.0916925291363837,-0.0804861903868845,-0.102898867885883,-0.0692798516373854,-0.0928927177533605,-0.10409905650286,-0.115305395252359,-0.126511734001858,-0.137718072751357,-0.116505583869336,-0.127711922618835,-0.138918261368334,-0.150124600117833,-0.161330938867332,-0.172537277616832,-0.140118449985311,-0.15132478873481,-0.162531127484309,-0.173737466233808,-0.184943804983308,-0.196150143732807,-0.207356482482306
0,0.0188921640590223,-0.0148436078514249,0.0526279359694695,0.0117292521442789,0.0454650240547261,-0.0220065197661682,0.0792007959651733,0.105773655960877,0.07203788405043,0.0383021121399828,0.00456634022953559,-0.0291694316809116,0.132346515956581,0.0986107440461338,0.0648749721356866,0.0311392002252394,-0.00259657168520778,-0.036332343595655,0.158919375952285,0.125183604041838,0.0914478321313904,0.0577120602209432,0.023976288310496,-0.00975948359995113,-0.0434952555103983
