a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
487,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,-0.0181920123318065,-0.0785550006869021,0.042170976023289,-0.118473399264391,-0.058110410909296,-0.178836387619487,0.0022525774457996,-0.0376658211316898,-0.0980288094867853,-0.158391797841881,-0.218754786196976,-0.279117774552072,-0.0775842197091792,-0.137947208064275,-0.19831019641937,-0.258673184774466,-0.319036173129561,-0.379399161484657,-0.117502618286669,-0.177865606641764,-0.23822859499686,-0.298591583351955,-0.358954571707051,-0.419317560062146,-0.479680548417242
0,0.0135664041848196,-0.0673779797197496,0.0945107880893888,0.025370093596392,0.106314477500961,-0.0555742903081772,0.18725886140553,0.280006934721672,0.199062550817103,0.118118166912534,0.0371737830079644,-0.0437706008966048,0.372755008037814,0.291810624133244,0.210866240228675,0.129921856324106,0.0489774724195368,-0.0319669114850325,0.465503081353955,0.384558697449386,0.303614313544817,0.222669929640248,0.141725545735678,0.0607811618311092,-0.0201632220734601
