a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
17496,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,0.0135495728617871,-0.00531864924500228,0.0324177949685765,0.0106098786740607,0.0294781007808501,-0.00825834343272869,0.0483463228876394,0.0642748508067024,0.045406628699913,0.0265384065931236,0.00767018448633428,-0.0111980376204551,0.0802033787257654,0.061335156618976,0.0424669345121866,0.0235987124053972,0.00473049029860786,-0.0141377318081815,0.0961319066448283,0.077263684538039,0.0583954624312496,0.0395272403244602,0.0206590182176708,0.00179079611088146,-0.0170774259959079
0,0.0340915741164757,0.0415906807677222,0.0265924674652293,0.0541814871108257,0.0466823804595793,0.0616805937620722,0.0391832738083328,0.0517740801514363,0.0592731868026828,0.0667722934539292,0.0742714001051757,0.0817705067564221,0.0643648864945398,0.0718639931457863,0.0793630997970327,0.0868622064482792,0.0943613130995256,0.101860419750772,0.0769556928376434,0.0844547994888898,0.0919539061401363,0.0994530127913827,0.106952119442629,0.114451226093876,0.121950332745122
