"angle","gap","Re","total.conc","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18","row1","row2","row3","row4"
8.4438139,25.25,2.505,9555.76394629787,20.4673129986002,22.0891584317743,33.8625638139961,70.1051798241029,81.6687875347831,78.672549954509,132.432106413124,472.392889770715,346.583766474965,288.966976826168,274.004167423251,274.850162611629,1729.70611777917,1391.66785638857,1231.96996754666,1115.02401959647,1023.29641982204,968.003943087343,76.4190352443706,362.878623726519,1656.79796310673,7459.66832422025
12.497732,10.960581,2.505,19635.1139812287,107.13309493217,139.373314533749,234.039007604017,133.677518784439,166.473637850703,250.746540623461,466.175027004589,1188.50486239299,569.919330946184,480.041461759619,465.480523346827,728.364037624081,3677.50032710315,2501.86548914737,2230.47820397713,1969.52606249887,2031.09118273939,2294.72435835998,480.545417069936,1017.07272426319,3432.3102160697,14705.1856238259
12.497732,25.25,1.0645111,8115.85688375689,17.9958274367358,14.7901057114936,32.0757597083457,52.116736071307,74.6952652502165,58.6293942729289,123.678236624793,461.218523727979,294.35281631418,255.435182440161,190.180593787049,208.189731543236,1623.82968421756,1236.50628980985,1077.5192260484,896.084122805671,801.370155466567,697.189232520419,64.861692856575,309.119632219246,1409.37684781261,6332.49871086847
12.497732,25.25,2.505,8118.09847283274,18.0064372047727,14.7942141177886,32.0920628885193,52.1379387160169,74.7319206625404,58.6375429539795,123.720649547361,461.335610773487,294.454216037642,255.519954060905,190.228795855835,208.210719134617,1624.24760857582,1236.92136882447,1077.85192503039,896.352593179327,801.566790388215,697.288124881053,64.8927142110806,309.228051879898,1409.74929586249,6334.22841087927
12.497732,25.25,3.9454889,8118.89505422539,18.0107077549062,14.7971487224818,32.0888829169815,52.1444266247898,74.7432700476039,58.6400392088518,123.737947905588,461.385280677188,294.487255910758,255.545315434797,190.243528345399,208.214040798674,1624.40622540122,1237.06400832122,1077.97253084629,896.445133528344,801.643950539528,697.325361240768,64.8967393943695,309.265683786833,1409.87542116681,6334.85720987737
12.497732,39.539419,2.505,3316.80180849581,2.22909183457648,1.53023998556661,3.95665610319485,13.2951140382172,18.2113228486472,9.36961027469295,32.9707205720808,174.923586059891,122.568352763197,91.3519249093037,67.2676578164141,48.2620677761458,799.980461784863,612.787951846396,460.15724899217,355.530014387015,286.020752022294,216.389034481143,7.71598792333794,73.8467677336382,504.373589324951,2730.86546351388
20.2863,6.0787324,2.505,24230.7719443117,259.511579000493,326.790653311515,586.29167483539,138.709298257737,197.040007169532,368.890939543007,769.556142774127,1691.68133726633,601.184864636023,422.285807016382,436.427808233691,844.135058561573,5041.88405136823,2934.91053988826,2387.9158733347,2176.83239504273,2172.60991588984,2874.11399818215,1172.5939071474,1474.1963877444,3995.714875714,17588.2667737059
20.2863,10.960581,1.0645111,17257.4467936198,91.7436460638213,100.677200457713,243.215876392315,112.711249924605,158.237083815212,195.922459759988,492.833253342124,1192.08284902085,558.487501139533,408.73573266081,378.225272251209,530.956765409711,3696.89607801216,2303.30778443069,1860.28966735544,1682.57421793318,1574.03011972199,1676.52003592848,435.63672291385,959.704046841929,3068.48812048211,12793.6179033819
20.2863,10.960581,2.505,17263.6593579121,91.7496382907034,100.61480979706,243.32294655911,112.737395561926,158.329011464064,195.867863249469,493.12077238943,1192.63436596424,558.811197277614,408.89883704475,378.295188367066,530.908440929225,3698.64559168001,2304.62067605072,1861.05217088831,1682.99964734807,1574.33009294934,1676.72071210098,435.687394646873,960.055042664889,3069.54802958289,12798.3688910174
20.2863,10.960581,3.9454889,17270.0422098874,91.7952084794606,100.624223814833,243.449969869723,112.773096247963,158.412195836351,195.886217762788,493.477016328521,1193.42723694764,559.068321536999,409.046511410951,378.392122074429,530.938976368516,3700.47980460969,2305.4952746966,1861.68414602114,1683.57294726421,1574.70291036298,1676.81603025459,435.869402164017,960.548526175623,3070.87316833854,12802.7511132092
20.2863,25.25,0.57238131,6251.36889361746,13.2744632499527,8.79668168868975,29.6373772326683,39.0764023894041,56.8097020277329,30.9810470158866,112.661863823979,419.026210599766,255.323557484028,165.810296173843,141.238774818825,114.569634811462,1577.01000992594,1064.48334415555,785.920018912106,628.936713469438,437.444367911072,370.368427927117,51.7085221713108,239.529015257003,1095.96847388792,4864.16288230122
20.2863,25.25,1.0645111,6253.48252597034,13.2870402163599,8.80021201063082,29.6577723618239,39.0946604384307,56.8454778935953,30.9852559674066,112.714240136225,419.180423727935,255.438732087473,165.881163855109,141.27987787131,114.580688683422,1577.50279928189,1064.87967515935,786.228571858097,629.154166551093,437.558130534427,370.413637335768,51.7450245888146,239.639634435657,1096.36088622525,4865.73698072062
