"angle","gap","Re","row1","row2","row3","row4"
8.4438139,25.25,2.505,0.705492566773901,0.862235414618238,0.933892374554416,0.964275459692581
12.497732,10.960581,2.505,0.421141213716473,0.664913061759823,0.789290276011452,0.857534696083749
12.497732,25.25,1.0645111,1.0115124542887,0.860951257706814,0.930248188416784,0.958704515622861
12.497732,25.25,2.505,0.715860666366061,0.865198058297392,0.93460260793101,0.961355174325848
12.497732,25.25,3.9454889,0.7184860846571,0.866932032911961,0.936773840153279,0.962508882970603
12.497732,39.539419,2.505,0.863484431362013,0.934494075416587,0.973197470540181,0.988925451004567
20.2863,6.0787324,2.505,0.404034033636174,0.536728332230753,0.643424043647732,0.720594970851283
20.2863,10.960581,1.0645111,0.50763695300256,0.683312407615595,0.785232698613157,0.845090498737651
20.2863,10.960581,2.505,0.52701494693174,0.69841658505844,0.79735168214965,0.855157782042516
20.2863,10.960581,3.9454889,0.534803282559539,0.705003591006001,0.802494433070533,0.859228512216675
20.2863,25.25,0.57238131,0.743313225904422,0.868723619788264,0.926268165948762,0.952753068356833
20.2863,25.25,1.0645111,0.752036995982635,0.873964437559868,0.930447972421146,0.956342020462034
20.2863,25.25,2.505,0.760274058285286,0.87961699101453,0.935061429449318,0.960310211243535
20.2863,25.25,3.9454889,0.763750971120705,0.882100266571118,0.937138100583106,0.962072664948064
20.2863,25.25,4.4376187,0.764365835562737,0.882695605977011,0.937642120161327,0.962498473992455
20.2863,39.539419,1.0645111,0.879645947874912,0.937391322078765,0.97038317851567,0.983723978733178
20.2863,39.539419,2.505,0.884035154602025,0.940483119968752,0.972988820547471,0.98601967149841
20.2863,39.539419,3.9454889,0.886126645024245,0.941934321132333,0.974170913834047,0.9871107357104
20.2863,44.421268,2.505,0.907520023622395,0.949829537959498,0.976877263557787,0.988330827341415
38.038476,3.9368763,2.505,0.494202757547173,0.504800790224302,0.539323872273089,0.576142327488245
38.038476,6.0787324,1.0645111,0.618657118028495,0.617448322583999,0.651580872950338,0.686590792663434
38.038476,6.0787324,2.505,0.65801134771357,0.651711887215109,0.683597363303416,0.716402777658465
38.038476,6.0787324,3.9454889,0.674715162805902,0.666305810001213,0.697063844254687,0.72899099467361
38.038476,10.960581,0.57238131,0.776418914031237,0.759604284295929,0.792687119325468,0.818178160137419
38.038476,10.960581,1.0645111,0.803967667793622,0.779931219938832,0.810563851298066,0.83440470459124
38.038476,10.960581,2.505,0.830878606121599,0.801480321099516,0.82918400258796,0.85139987261345
38.038476,10.960581,3.9454889,0.841943542772206,0.810442202320167,0.83684137034812,0.858456174551199
38.038476,10.960581,4.4376187,0.844497795956753,0.81251367662199,0.83860721887749,0.860088301809155
38.038476,16.835469,2.505,0.90101167346118,0.875465334260371,0.898986974904158,0.912457818756229
38.038476,25.25,0.3564649,0.9043677916387,0.900201789471127,0.920043634644244,0.930514355915366
38.038476,25.25,0.57238131,0.918308618804343,0.90798634310447,0.926871181802126,0.936847001521286
38.038476,25.25,1.0645111,0.930187995509962,0.91612729743938,0.934071734193325,0.943523759436018
38.038476,25.25,1.6567473,0.936802449080957,0.920818036358105,0.938263973407059,0.947403209656865
38.038476,25.25,2.505,0.941790350151277,0.924484469604989,0.941617172692204,0.950503593672183
38.038476,25.25,3.3532527,0.944987953907839,0.926747833630846,0.94370984920611,0.952427550112479
38.038476,25.25,3.9454889,0.946531660505231,0.927902337840836,0.944785572837573,0.953412230844648
38.038476,25.25,4.4376187,0.947579547504817,0.928690458149261,0.945524474295089,0.954089819799604
38.038476,25.25,4.6535351,0.947987160897513,0.92899852782061,0.945813400959984,0.954355940209547
38.038476,33.664531,2.505,0.967534652239022,0.949970547171931,0.962047120733187,0.968571013187175
38.038476,39.539419,0.57238131,0.962940700839196,0.94934619246286,0.960197747590622,0.965274974378602
38.038476,39.539419,1.0645111,0.970348194983477,0.953997052908368,0.96445902770099,0.969364922031139
38.038476,39.539419,2.505,0.977198723866216,0.958819685082926,0.968860687946338,0.973649562220477
38.038476,39.539419,3.9454889,0.980072778107909,0.960781369523053,0.970683123202665,0.975436380166211
38.038476,39.539419,4.4376187,0.980713740833647,0.961240025871399,0.97110462003989,0.975853986386986
38.038476,44.421268,1.0645111,0.978867696955179,0.961823528542494,0.97118120336129,0.974618941562949
38.038476,44.421268,2.505,0.985024198038349,0.966166659230366,0.975230762287974,0.978441071406705
38.038476,44.421268,3.9454889,0.987652129835139,0.967918046414076,0.976936556988706,0.980043838822748
38.038476,46.563124,2.505,0.987667898863244,0.967550159120389,0.976151373005608,0.979937820376945
41.537762,25.25,2.505,0.984569093190245,0.933868596321554,0.941874018819556,0.947013986298116
59.401706,10.960581,2.505,1.13894114974149,0.932634510116962,0.866830881302109,0.840657675576998
59.401706,25.25,1.0645111,1.17471637338128,0.971709456834166,0.934136403929685,0.920985552914741
59.401706,25.25,2.505,1.18936640216969,0.983920671886493,0.945798332642201,0.932415155956696
59.401706,25.25,3.9454889,1.19531112210592,0.988933733399802,0.950503947673909,0.93699272256558
59.401706,39.539419,2.505,1.125755057702,0.986054055014392,0.964013603845378,0.95673121399964
90,2.8220488,2.505,0.517937318192756,0.469467880688996,0.453610896187214,0.394405713972325
90,3.9368763,1.0645111,0.687384062946464,0.601089307941535,0.546788248403464,0.47799145543521
90,3.9368763,2.505,0.755355276170497,0.657194720071275,0.599807844026169,0.529269508314319
90,3.9368763,3.9454889,0.787692214143463,0.683477789149232,0.625545221280772,0.552953459752995
90,6.0787324,0.57238131,0.921300613163039,0.7849721924948,0.684758792850189,0.611970145133867
90,6.0787324,1.0645111,0.981056770089393,0.826230140079667,0.725856345948608,0.653022185835677
90,6.0787324,2.505,1.04273966583268,0.875378397668246,0.774475104690064,0.700482439930978
90,6.0787324,3.9454889,1.06996804373649,0.89743497063561,0.796165325959834,0.720971452770173
90,6.0787324,4.4376187,1.0764730204083,0.902673851936124,0.801303206803277,0.725732019603505
90,10.960581,0.3564649,1.18440981902958,0.921326989556158,0.803718773245734,0.741468216134429
90,10.960581,0.57238131,1.23145700659215,0.947149318379816,0.829422394480983,0.767945972820356
