"angle","gap","Re","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18"
8.4438139,25.25,2.505,-0.00142802776023746,-0.00132589906826615,0.0016692986311391,-0.000857569895684719,8.04345216602088e-05,-0.000248198135523126,0.000424647814594209,-0.000274894456379115,4.35104407370088e-06,0.000105758469086141,-0.000416650433093309,-0.000382929602637887,-7.85581171512606e-05,-4.70365583896631e-06,-0.000136003088206053,0.000157362169586122,-0.000265219356864691,-0.000675406318157911
12.497732,10.960581,2.505,-0.00172715170192532,-0.00355159167200327,0.000782641888828948,-0.00127723636012524,-0.000264994898810983,-0.00194256379175931,0.000599510898813605,0.000456664923578501,-0.000154232483357191,-0.000220832881983369,-0.00134350091498345,-0.00110528667271137,0.000276457047089934,-0.00044515747949481,-0.000290096240118146,-0.00037745769508183,-0.000886849197559059,-0.000593139027245343
12.497732,25.25,1.0645111,-0.00160805867682211,-0.00151458113640547,0.00139800127223134,-0.00122439935131115,-4.68696374446155e-05,-0.000822655064053834,0.000552798446267843,0.000131915785372257,0.000146180205047131,2.82610617578029e-05,-0.000387970745563507,-0.000652885694056749,0.000176371974870563,-7.21821645274758e-05,-0.000463917270302773,-0.000387025661766529,-0.000259859505109489,-0.000524348512291908
12.497732,25.25,2.505,-0.00172391564981081,-0.0018286274690181,0.00160868396703154,-0.00133386010571849,-3.04046310484408e-05,-0.000880085771903396,0.000654872881248593,0.000155410382896662,0.000152401451021433,-5.99999714177113e-06,-0.000453195914626121,-0.000707790210843086,0.000193433292210102,-6.44558034837246e-05,-0.000476375035941601,-0.000404377713799477,-0.000307156568393111,-0.000561101634055376
12.497732,25.25,3.9454889,-0.0017589376680553,-0.00197175898961723,0.00167874253710033,-0.0013533317950787,-1.72742754220964e-05,-0.000875950808636844,0.000714789284393192,0.000169299513101578,0.000158520087599754,-2.25892132148147e-05,-0.000470055930316448,-0.000708978094160557,0.000214327601715922,-4.39714509993791e-05,-0.00046290935203433,-0.00039127410389483,-0.000319623749237508,-0.000556264102458954
12.497732,39.539419,2.505,-0.00172362762130797,-0.000994208422489464,0.000880097184330225,-0.000823060253635049,-0.000192190933972597,-0.000429208934307098,-9.26614627242089e-05,1.8266364466399e-05,8.11805652920155e-05,1.84238639194519e-05,8.70431726798415e-05,0.000318638307508081,-0.000101589320227504,-4.84705204144112e-06,-0.000370371935656294,-0.000311640777159482,-0.000215201940387487,-0.000391008052974939
20.2863,6.0787324,2.505,-0.0024961712025106,-0.00326122037228197,-0.000818673892295919,-0.00259989660978317,-0.00179610728099942,-0.00282305431365967,-0.00059167599119246,4.50772203039379e-05,-0.000600432582199573,-0.00097956845164299,-0.00114556859247386,-0.00107023788336664,-0.000203383851796389,-0.000579321954399347,-0.000929050168022514,-0.00115151797235012,-0.00174944860395044,-0.00210905310325325
20.2863,10.960581,1.0645111,-0.00214966218615882,-0.002460901979357,-0.000109836324118078,-0.00126236427947879,-0.000652996370568871,-0.0013040783056058,0.000169309930875897,-6.43523000180717e-05,-0.000549822002649307,-0.00111100819287822,-0.00145543028018437,-0.00148137014824897,-5.9618005529046e-05,-0.000326444951817393,-0.000641589238541201,-0.000905396655201912,-0.00103493174910545,-0.000667188324034214
20.2863,10.960581,2.505,-0.00246923434175551,-0.00299921148270369,-7.61635573580857e-05,-0.00141149595938623,-0.000723945547826588,-0.00145033314265311,0.000188997427001595,-5.49863614141941e-05,-0.000593775052577257,-0.00121967607131228,-0.00159728144563269,-0.00161051397956908,-4.86921053379774e-05,-0.00034909433312714,-0.000709647114854306,-0.00101103201881051,-0.00115303871780634,-0.0007700050547719
20.2863,10.960581,3.9454889,-0.00266472354531288,-0.00325777279213071,-5.44313155114646e-05,-0.0014394245063886,-0.000740149424877018,-0.00146690976945683,0.000192133435979485,-4.13338802754878e-05,-0.000595213592052459,-0.00123623544443399,-0.00161781478114426,-0.00162321287719533,-2.93393181636927e-05,-0.000343528136610985,-0.000722473154310137,-0.00103895412757993,-0.00118480290099978,-0.000807353913784027
20.2863,25.25,0.57238131,-0.00201905225403607,-0.000965955252759159,0.00083486935775727,-0.000841112438589334,-0.000269540195818991,-0.000469290173612535,0.000250261349603534,0.000222536988556385,0.00013783023506403,-0.000477484680712223,-0.000462413765490055,-0.000268407872878015,0.000400494433939457,5.33256789203738e-05,-0.00041276168078184,-0.000402321269735694,-0.000337339555844664,-0.000315593965351582
20.2863,25.25,1.0645111,-0.00214317611302249,-0.00115911934804171,0.000951959346421063,-0.0009609778188169,-0.000298251003958285,-0.000546708615496755,0.000286449416540563,0.000239539144560695,0.000140553040429949,-0.000536158230155707,-0.000527083506807685,-0.000321359978988767,0.000424631647765636,4.54967758851122e-05,-0.00045282843708992,-0.000447350637055934,-0.000387310704216361,-0.00034776152856648
20.2863,25.25,2.505,-0.00246314198151231,-0.00141278674267232,0.00108028842974454,-0.0010991492420435,-0.000329876343486831,-0.000610591424629092,0.000337818555533886,0.000271735105663538,0.000140670136548579,-0.000590817555785179,-0.000573653697967529,-0.000383381363935769,0.000447422003373504,4.61151050403714e-05,-0.0004767662063241,-0.000470102984458208,-0.000436380834318697,-0.000369667056947946
20.2863,25.25,3.9454889,-0.00265863865986466,-0.00150251277256757,0.00111437620106153,-0.00113947073742747,-0.000339212471502833,-0.000610618505626917,0.000358757901936769,0.000292637120932341,0.000142767245881259,-0.000595025464892387,-0.00056712749414146,-0.000402092511765659,0.000454526733607054,5.8309702304541e-05,-0.000466559544205666,-0.0004560860786587,-0.000446127482689917,-0.000366198286414146
20.2863,25.25,4.4376187,-0.00270721580740064,-0.00151873050816357,0.00111876199324615,-0.00114555598795414,-0.000340937923581805,-0.000606872694566846,0.000363179806619883,0.00029801532626152,0.000143464810214937,-0.000593544900417328,-0.000561021396890283,-0.000405475236475468,0.000456072490662336,6.33208999206544e-05,-0.000461732991039753,-0.000450445633381605,-0.000446560733020306,-0.0003640441223979
20.2863,39.539419,1.0645111,-0.00214262847602367,-0.000334449037909507,0.000700802372070029,-0.000152991933748126,-0.000304871588945389,-0.000757492709904909,0.000223659932613373,-0.000152185618877411,-7.13877007365224e-05,-0.000182618096470833,-4.91146051790565e-05,-0.000725276451557875,-0.000509758338332176,2.17664586380122e-05,7.65733586158602e-05,-0.000252929516136646,-0.0004674954097718,-0.000347375877201557
20.2863,39.539419,2.505,-0.00246280519664288,-0.000400713410228491,0.000831495508551598,-0.000254404149483889,-0.000305005803704262,-0.000805563267320395,0.000267728473991155,-0.00014111993368715,-5.96185363829136e-05,-0.000212790414690971,-9.67842647805809e-05,-0.000754271876066923,-0.000514227952808142,3.07274386286736e-05,6.43384056165815e-05,-0.000275717187672853,-0.00047231075912714,-0.000348950427025556
20.2863,39.539419,3.9454889,-0.0026583144441247,-0.000411980405449867,0.0008813007324934,-0.000313053627614863,-0.000294227473437786,-0.00079848750680685,0.000302938044071197,-0.000117808708455413,-4.464316368103e-05,-0.00021839364990592,-0.000114330839831382,-0.000741125259548426,-0.000495741467922926,4.26799170672895e-05,6.23124428093433e-05,-0.00026702369004488,-0.000451150665059686,-0.000335504677146673
20.2863,44.421268,2.505,-0.00245640277676284,-0.00105061217397451,0.000762502979487181,-0.000976116921752692,-4.59948973730205e-05,-0.000235888298600912,-8.54192953556774e-05,9.7698010504246e-05,-0.000385032184422016,-0.000545366542413831,-0.000676481548696756,0.000309789306018502,-0.000384330108761787,0.000405878245830536,-0.000494979619979858,0.000302776745520532,-0.000577026098966598,0.000342384467832744
38.038476,3.9368763,2.505,-0.00299293171009049,-0.00450101840868592,-0.00370116821490228,-0.00367810174450278,-0.00241044447571039,-0.00214051082916558,-0.00280525913834572,-0.00214372186735272,-0.00158041485957801,-0.0025923936329782,-0.00170742318313569,-0.00175150589551777,-0.00154226385895163,-0.000683848796412349,-0.00155645082332194,-0.000814027283340693,-0.00158484175987542,-0.00130546263325959
38.038476,6.0787324,1.0645111,-0.00252211571764201,-0.00225562651082873,-0.0020865701213479,-0.00232755423523486,-0.00219186315266415,-0.00203482211381197,-0.00163507296494208,-0.000793750158511102,-0.00175525478087366,-0.00208013231074437,-0.00210872341506183,-0.00140909043885767,-0.000284162169322371,-0.00045900820568204,-0.00117746906541288,-0.001994414832443,-0.00153935911040753,-0.00131459978967905
