"angle","gap","Re","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18"
8.4438139,25.25,2.505,30.679071187973,113.63720703125,91.8392023848536,80.8520660400391,85.717885043369,109.67566204071,106.534705162048,108.001296043241,117.337833881378,91.8936958312988,97.4909539222718,124.712334632874,114.878595352173,106.362594409298,86.1200981140137,104.547701835632,113.494334697723,115.477363586426
12.497732,10.960581,2.505,23.1887788772583,90.6292233467101,38.8686189651489,85.4739818572998,68.5275645256042,88.667592048645,69.409309387207,91.7192677259444,78.4908208847046,82.8869543075562,110.8274269104,95.9109764099121,71.8547201156616,94.7404708862304,90.6225464344026,89.8441286087036,111.341099739075,126.37223815918
12.497732,25.25,1.0645111,20.2129821777344,80.5500869750977,64.4288120269775,80.5151881575584,67.9758705468024,89.759684085846,80.1895287036895,87.11292552948,84.6757411956787,86.3715171813965,96.1930794715881,104.690367698669,80.5519523620605,70.7685279846191,65.3971969362732,75.1053644293113,76.4380259513855,83.3218306686677
12.497732,25.25,2.505,23.2343759536743,92.5277938842773,75.6108894348145,99.2408440113067,84.599272322568,110.377950668335,100.126857876778,105.986787796021,102.630806922913,104.314917564392,115.625133514404,125.550002098083,94.0166473388672,81.4423179626465,81.8361933036081,93.9077198615409,95.6576156616211,104.324654617864
12.497732,25.25,3.9454889,24.5724716186524,103.605681372366,80.0430870056153,110.552970767021,94.6716881599055,122.982817173004,112.152260065079,117.082056045532,112.973114967346,114.766795158386,126.740846633911,137.222953796387,99.6767730712891,85.2004051208496,92.1242060809381,105.423567602209,107.539905548096,117.370941802376
12.497732,39.539419,2.505,23.237265586853,146.393907546997,103.980105402457,121.078919410706,96.6056900024414,122.739983558655,90.0332088470459,91.2223434448242,122.607853889465,117.230598926544,109.159558296204,105.778820037842,114.393936157227,122.352434158325,113.866276741028,107.107063293457,107.252659797668,113.774741557271
20.2863,6.0787324,2.505,45.5841008264245,78.8281384911372,22.622608423233,61.508725823012,61.7592477798461,119.54269695282,53.3711612224579,69.4156870443448,62.9673148432595,87.4143838882446,99.4453287124634,99.9227685928345,80.161738872528,64.9515113830566,97.7792367935181,93.1266565322876,104.266428470612,117.67690440141
20.2863,10.960581,1.0645111,37.9047681724749,86.954822654107,23.0211615438654,69.6233291625977,51.5258913040161,94.7731161117554,54.0476150512695,81.9049334526062,80.3700084686279,83.0777931213379,85.0696887969971,79.4957656860352,64.6191139959233,68.5850935679786,72.913894762265,79.5480753836722,87.1258000285388,92.9274374756142
20.2863,10.960581,2.505,45.4615349369836,105.302529967133,29.8968433316759,83.6482563018799,62.9918003082275,113.299843788147,66.9435386657715,98.5691537857056,96.2770442962646,98.8239469528198,100.109939575195,91.8427124023438,81.3547670072039,86.2005803824163,91.2044567113466,98.9604576778957,107.807062364467,114.401360425515
20.2863,10.960581,3.9454889,50.2097698998177,116.864088161479,34.0049805051065,92.1893978118896,69.944372177124,124.394756317139,74.6836919784546,107.477496147156,104.599667549133,106.806480407715,107.199913024902,96.6705169677734,91.7618460371311,97.1353980464218,102.604377103374,110.999441027575,120.617398812461,127.687790848349
20.2863,25.25,0.57238131,33.45704754675,97.0071182250977,50.6146888000144,74.2544612884521,56.1490511894226,97.1571311950684,66.9156198501587,69.2119579315186,68.9130487442016,82.2392630577087,86.7607593536377,62.9383991883277,74.0944862365723,84.1211347579956,85.500316619873,62.5608768463135,74.2232017517089,79.773489561857
20.2863,25.25,1.0645111,37.9698665702184,110.814494132996,59.9827249070734,84.7041454315186,64.7603034973144,110.974522590637,77.9901721477508,79.7999505996704,79.0106678009033,94.0934705734253,99.4169597625732,73.0360680861554,84.9210138320923,96.2970819473267,98.1934385299683,72.8339586257934,86.3299946784973,92.241561860852
20.2863,25.25,2.505,45.5055554059437,134.781808853149,76.4068166724662,102.730593681335,79.7214441299438,132.759976387024,97.3507803678513,98.3022232055664,96.473970413208,112.996098518372,118.046619415283,91.1931489936291,103.707210540771,115.848281383514,117.098811149597,90.9479007720947,107.768341064453,113.93464434926
20.2863,25.25,3.9454889,50.2475316372551,149.253280639648,86.2768902448546,113.545691490173,88.7638502120972,144.775388717651,109.037207126617,109.518988609314,106.92266368866,123.597960472107,127.24831199646,102.418746759742,114.957197189331,126.894720077515,126.678075790405,102.04612159729,120.951275348663,127.063141576869
20.2863,25.25,4.4376187,51.5375518843593,153.024250984192,88.8468498174131,116.367751121521,91.1295299530029,147.803562164307,112.090090870857,112.443111419678,109.617643356323,126.303614616394,129.426752090454,105.440712146844,117.857172012329,129.713840484619,128.976747512817,105.007617950439,124.453507423401,130.509750543863
20.2863,39.539419,1.0645111,37.9717420007875,111.005652427673,69.996696472168,84.064697265625,77.9850617778375,113.313750267029,73.9566788673401,78.3935027122498,84.2852489948273,85.133638381958,108.056711673737,85.6494610727476,84.0396332693538,85.4644021987916,88.9852466583252,106.605140209198,82.3784125302331,91.6464183330536
